Customer Code,Customer Name,Customer Group,Profit Center,Billing Document,Billing Type,Invoice Date,Reference No.,Reference Date,Document No.,Document Type,Balanace Due,Due Date,Due Days,Not Due,Doubtful Debt,Legal,Sales Group,Sales Organization,Division,Above 180 Days,000to30Days,31to60Days,61to90Days,91to120Days,121to150Days,151to180Days,Written Off
0010004847,LABORATE PHARMACEUTICALS INDIA LTD.,IV,0000001101,0090002368,ZDOM,20-04-2022,DI2210200091,20-04-2022,0090000267,RV,0.00,20-04-2022,654,0.00,"6,54,528.00",,G03,1000,01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,54,528.00"
0010007639,ALLITES LIFE SCIENCES PRIVATE LIMIT,IV,0000001101,0090004657,ZDOM,27-06-2022,DI2210200484,27-06-2022,0090001398,RV,"6,24,960.00",27-06-2022,586,0.00,"6,24,960.00",,G03,1000,01,"6,24,960.00",0.00,0.00,0.00,0.00,0.00,0.00,"6,24,960.00"
0010000673,UNILINK PHARMA PRIVATE LIMITED,IV,0000001101,0090005814,ZDOM,29-07-2022,DI2210200702,29-07-2022,0090001989,RV,"5,26,726.00",29-07-2022,554,0.00,"5,26,726.00",,G04,1000,01,"5,26,726.00",0.00,0.00,0.00,0.00,0.00,0.00,"5,26,726.00"
0010000673,UNILINK PHARMA PRIVATE LIMITED,IV,0000001101,0090005815,ZDOM,29-07-2022,DI2210200703,29-07-2022,0090001990,RV,"57,658.00",29-07-2022,554,0.00,"57,658.00",,G04,1000,01,"57,658.00",0.00,0.00,0.00,0.00,0.00,0.00,"57,658.00"
0010005702,INTIGREAT CONSULTING SERVICES LLP,Ex,0000001101,0090005885,ZDOM,30-07-2022,DI2210200709,30-07-2022,0090002036,RV,"4,98,714.00",30-07-2022,553,0.00,"4,98,714.00",,G03,1000,01,"4,98,714.00",0.00,0.00,0.00,0.00,0.00,0.00,"4,98,714.00"
0010008140,CYTOCHROME LIFE SCINENCES PVT LTD,Ex,0000001101,0090006048,ZDOM,02-08-2022,DI2210200731,02-08-2022,0090002127,RV,0.00,02-08-2022,550,0.00,"2,96,331.00",,G03,1000,01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,96,331.00"
0010008140,CYTOCHROME LIFE SCINENCES PVT LTD,Ex,0000001101,0090006049,ZDOM,02-08-2022,DI2210200732,02-08-2022,0090002128,RV,"2,05,485.00",02-08-2022,550,0.00,"2,05,485.00",,G03,1000,01,"2,05,485.00",0.00,0.00,0.00,0.00,0.00,0.00,"2,05,485.00"
0010008660,THE CHIEF MEDICAL OFFICER KARGIL,IN,0000001101,0090009855,ZDOM,23-11-2022,DI2210201387,23-11-2022,0090003785,RV,0.00,23-11-2022,437,0.00,"36,960.00",,G04,1000,01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010008660,THE CHIEF MEDICAL OFFICER KARGIL,IN,0000001101,0090009856,ZDOM,23-11-2022,DI2210201388,23-11-2022,0090003786,RV,"25,010.00",23-11-2022,437,0.00,"25,010.00",,G04,1000,01,"25,010.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010008661,THE CHIEF MEDICAL OFFICER LEH,IN,0000001101,0090009860,ZDOM,23-11-2022,DI2210201391,23-11-2022,0090003789,RV,"15,680.00",23-11-2022,437,0.00,"15,680.00",,G04,1000,01,"15,680.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010000572,TIRUPATI MEDILINES PVT. LTD.,IN,0000001101,0090011740,ZDOM,14-01-2023,DI2210201767,14-01-2023,0090004816,RV,"65,621.00",14-01-2023,385,0.00,"65,621.00",,G04,1000,01,"65,621.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010000572,TIRUPATI MEDILINES PVT. LTD.,IN,0000001101,0090012575,ZDOM,02-02-2023,DI2210201909,02-02-2023,0090005288,RV,"2,14,293.00",02-02-2023,366,0.00,"2,14,293.00",,G04,1000,01,"2,14,293.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010003567,NEON LABORATORIES LIMITED,IV,0000001101,0090012701,ZRCN,07-02-2023,CN2210200019,07-02-2023,0090005336,RV,-447.00,07-02-2023,361,0.00,-447.00,,G04,1000,01,-447.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090012769,IV,10-02-2023,DI2210201948,10-02-2023,0090005352,RV,"11,72,721.00",10-02-2023,358,0.00,"11,72,721.00",,,1000,01,"11,72,721.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010008299,PHARMACEUTICALS & MEDICAL DEVICES B,IN,0000001101,0090013240,ZDOM,24-02-2023,DI2210202023,24-02-2023,0090005531,RV,"1,77,744.00",24-02-2023,344,0.00,"1,77,744.00",,G04,1000,01,"1,77,744.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000001200,AISHWARYA HEALTHCARE,,0000001101,0090013294,ZST2,25-02-2023,DI2210202029,25-02-2023,0090005554,RV,"8,05,756.00",25-02-2023,343,0.00,"8,05,756.00",,,1000,01,"8,05,756.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090013295,IV,25-02-2023,DI2210202030,25-02-2023,0090005555,RV,"76,337.00",25-02-2023,343,0.00,"76,337.00",,,1000,01,"76,337.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090013297,IV,25-02-2023,DI2210202031,25-02-2023,0090005556,RV,"2,02,194.00",25-02-2023,343,0.00,"2,02,194.00",,,1000,01,"2,02,194.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090013299,IV,25-02-2023,DI2210202032,25-02-2023,0090005557,RV,"69,135.00",25-02-2023,343,0.00,"69,135.00",,,1000,01,"69,135.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010008299,PHARMACEUTICALS & MEDICAL DEVICES B,IN,0000001101,0090013387,ZDOM,28-02-2023,DI2210202050,28-02-2023,0090005587,RV,"7,49,542.00",28-02-2023,340,0.00,"7,49,542.00",,G04,1000,01,"7,49,542.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000001200,AISHWARYA HEALTHCARE,,0000001101,0090013538,ZST2,28-02-2023,DI2210202073,28-02-2023,0090005684,RV,"2,45,385.00",28-02-2023,340,0.00,"2,45,385.00",,,1000,01,"2,45,385.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090013542,IV,28-02-2023,DI2210202074,28-02-2023,0090005686,RV,"2,15,517.00",28-02-2023,340,0.00,"2,15,517.00",,,1000,01,"2,15,517.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000001200,AISHWARYA HEALTHCARE,,0000001101,0090013585,ZST2,28-02-2023,DI2210202082,28-02-2023,0090005707,RV,"19,950.00",28-02-2023,340,0.00,"19,950.00",,,1000,01,"19,950.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000001200,AISHWARYA HEALTHCARE,,0000001101,0090013618,ZST2,28-02-2023,DI2210202087,28-02-2023,0090005729,RV,"6,47,360.00",28-02-2023,340,0.00,"6,47,360.00",,,1000,01,"6,47,360.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090013724,IV,02-03-2023,DI2210202093,02-03-2023,0090005821,RV,"81,536.00",02-03-2023,338,0.00,"81,536.00",,,1000,01,"81,536.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010008651,WARNER INDIA PHARMA PVT.LTD,IV,0000001101,0090013755,ZDOM,03-03-2023,DI2210202095,03-03-2023,0090005832,RV,"2,73,230.00",03-03-2023,337,0.00,"2,73,230.00",,G04,1000,01,"2,73,230.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000001200,AISHWARYA HEALTHCARE,,0000001101,0090013771,ZST2,04-03-2023,DI2210202100,04-03-2023,0090005842,RV,"15,803.00",04-03-2023,336,0.00,"15,803.00",,,1000,01,"15,803.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090013772,IV,04-03-2023,DI2210202101,04-03-2023,0090005843,RV,"2,00,256.00",04-03-2023,336,0.00,"2,00,256.00",,,1000,01,"2,00,256.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090013869,IV,09-03-2023,DI2210202115,09-03-2023,0090005867,RV,"4,65,696.00",09-03-2023,331,0.00,"4,65,696.00",,,1000,01,"4,65,696.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090013870,IV,09-03-2023,DI2210202116,09-03-2023,0090005868,RV,"77,522.00",09-03-2023,331,0.00,"77,522.00",,,1000,01,"77,522.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090013969,IV,13-03-2023,DI2210202129,13-03-2023,0090005891,RV,"2,65,216.00",13-03-2023,327,0.00,"2,65,216.00",,,1000,01,"2,65,216.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090013970,IV,13-03-2023,DI2210202130,13-03-2023,0090005892,RV,"2,79,552.00",13-03-2023,327,0.00,"2,79,552.00",,,1000,01,"2,79,552.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0020000033,GUNJESHWARI PHARMA,IV,0000001101,0090014158,ZECI,17-03-2023,EX2210200038,17-03-2023,0090005962,RV,"4,89,600.00",17-03-2023,323,0.00,"4,89,600.00",,G01,1000,01,"4,89,600.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0020000033,GUNJESHWARI PHARMA,IV,0000001101,0090014159,ZECI,17-03-2023,EX2210200039,17-03-2023,0090005963,RV,"8,50,500.00",17-03-2023,323,0.00,"8,50,500.00",,G01,1000,01,"8,50,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090014199,IV,20-03-2023,DI2210202171,20-03-2023,0090005979,RV,"8,08,705.00",20-03-2023,320,0.00,"8,08,705.00",,,1000,01,"8,08,705.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010001123,STRATHSPEY LABS PRIVATE LIMITED,Ex,0000001101,0090014207,ZDOM,20-03-2023,DI2210202174,20-03-2023,0090005982,RV,"2,04,400.00",20-03-2023,320,0.00,"2,04,400.00",,G03,1000,01,"2,04,400.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000001200,AISHWARYA HEALTHCARE,,0000001101,0090014394,ZST2,24-03-2023,DI2210202207,24-03-2023,0090006041,RV,"3,04,500.00",24-03-2023,316,0.00,"3,04,500.00",,,1000,01,"3,04,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090014395,IV,24-03-2023,DI2210202208,24-03-2023,0090006042,RV,"89,600.00",24-03-2023,316,0.00,"89,600.00",,,1000,01,"89,600.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010008138,BAL PHARMA LTD.,IV,0000001101,0090014498,ZDOM,27-03-2023,DI2210202237,27-03-2023,0090006081,RV,"14,71,882.00",27-03-2023,313,0.00,"14,71,882.00",,G04,1000,01,"14,71,882.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010008138,BAL PHARMA LTD.,IV,0000001101,0090014514,ZDOM,28-03-2023,DI2210202238,28-03-2023,0090006086,RV,"14,11,805.00",28-03-2023,312,0.00,"14,11,805.00",,G04,1000,01,"14,11,805.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010008138,BAL PHARMA LTD.,IV,0000001101,0090014622,ZDOM,29-03-2023,DI2210202248,29-03-2023,0090006138,RV,"11,21,434.00",29-03-2023,311,0.00,"11,21,434.00",,G04,1000,01,"11,21,434.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090014855,IV,31-03-2023,DI2210202287,31-03-2023,0090006254,RV,"4,20,163.00",31-03-2023,309,0.00,"4,20,163.00",,,1000,01,"4,20,163.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010007514,AFRINEXT OVERSEAS PVT LTD,Ex,0000001101,0090014863,ZDOM,31-03-2023,DI2210202289,31-03-2023,0090006257,RV,"96,096.00",31-03-2023,309,0.00,"96,096.00",,G03,1000,01,"96,096.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090014939,ZDOM,05-04-2023,DI2310200006,05-04-2023,0090000006,RV,"39,455.00",05-04-2023,304,0.00,"39,455.00",,G04,1000,01,"39,455.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090014940,ZDOM,05-04-2023,DI2310200007,05-04-2023,0090000007,RV,"42,104.00",05-04-2023,304,0.00,"42,104.00",,G04,1000,01,"42,104.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090014941,ZDOM,05-04-2023,DI2310200008,05-04-2023,0090000008,RV,"34,854.00",05-04-2023,304,0.00,"34,854.00",,G04,1000,01,"34,854.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090014942,ZDOM,05-04-2023,DI2310200009,05-04-2023,0090000009,RV,"2,440.00",05-04-2023,304,0.00,"2,440.00",,G04,1000,01,"2,440.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090014944,IV,05-04-2023,DI2310200011,05-04-2023,0090000011,RV,"8,38,656.00",05-04-2023,304,0.00,"8,38,656.00",,,1000,01,"8,38,656.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090014963,IV,06-04-2023,DI2310200014,06-04-2023,0090000015,RV,"8,04,608.00",06-04-2023,303,0.00,"8,04,608.00",,,1000,01,"8,04,608.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000001102,AISHWARYA HEALTHCARE,IV,0000001101,0090015178,ZST2,12-04-2023,DI2310200045,12-04-2023,0090000106,RV,"25,582.00",12-04-2023,297,0.00,"25,582.00",,,1000,01,"25,582.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090015214,IV,13-04-2023,DI2310200050,13-04-2023,0090000118,RV,"12,10,335.00",13-04-2023,296,0.00,"12,10,335.00",,,1000,01,"12,10,335.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090015215,IV,13-04-2023,DI2310200051,13-04-2023,0090000119,RV,"1,66,656.00",13-04-2023,296,0.00,"1,66,656.00",,,1000,01,"1,66,656.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090015233,ZDOM,14-04-2023,DI2310200055,14-04-2023,0090000126,RV,"79,464.00",14-04-2023,295,0.00,"79,464.00",,G04,1000,01,"79,464.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090015234,ZDOM,14-04-2023,DI2310200056,14-04-2023,0090000127,RV,"12,040.00",14-04-2023,295,0.00,"12,040.00",,G04,1000,01,"12,040.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090015235,ZDOM,14-04-2023,DI2310200057,14-04-2023,0090000128,RV,"1,05,952.00",14-04-2023,295,0.00,"1,05,952.00",,G04,1000,01,"1,05,952.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090015236,ZDOM,14-04-2023,DI2310200058,14-04-2023,0090000129,RV,"44,307.00",14-04-2023,295,0.00,"44,307.00",,G04,1000,01,"44,307.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090015237,ZDOM,14-04-2023,DI2310200059,14-04-2023,0090000130,RV,"24,080.00",14-04-2023,295,0.00,"24,080.00",,G04,1000,01,"24,080.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090015238,ZDOM,14-04-2023,DI2310200060,14-04-2023,0090000131,RV,"24,080.00",14-04-2023,295,0.00,"24,080.00",,G04,1000,01,"24,080.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090015239,ZDOM,14-04-2023,DI2310200061,14-04-2023,0090000132,RV,"24,080.00",14-04-2023,295,0.00,"24,080.00",,G04,1000,01,"24,080.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090015240,ZDOM,14-04-2023,DI2310200062,14-04-2023,0090000133,RV,"14,448.00",14-04-2023,295,0.00,"14,448.00",,G04,1000,01,"14,448.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090015241,ZDOM,14-04-2023,DI2310200063,14-04-2023,0090000134,RV,120.00,14-04-2023,295,0.00,120.00,,G04,1000,01,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090015242,ZDOM,14-04-2023,DI2310200064,14-04-2023,0090000135,RV,"98,728.00",14-04-2023,295,0.00,"98,728.00",,G04,1000,01,"98,728.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004743,KOYE PHARMACEUTICALS PRIVATE LIMITE,Ex,0000001101,0090015553,ZDOM,22-04-2023,DI2310200103,22-04-2023,0090000244,RV,386.00,22-04-2023,287,0.00,386.00,,G03,1000,01,386.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090015699,ZDOM,27-04-2023,DI2310200127,27-04-2023,0090000303,RV,"4,214.00",27-04-2023,282,0.00,"4,214.00",,G04,1000,01,"4,214.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0020000048,Z & Z PHARMA LTD,Ex,0000001101,0090015877,ZECI,29-04-2023,EX2310200001,29-04-2023,0090000382,RV,"21,39,878.40",29-04-2023,280,0.00,"21,39,878.40",,G03,1000,01,"21,39,878.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010002881,RAJASTHAN MEDICAL SERVICES CO. LTD.,IN,0000001101,0090016046,ZDOM,30-04-2023,DI2310200158,30-04-2023,0090000510,RV,"12,186.00",30-04-2023,279,0.00,"12,186.00",,G04,1000,01,"12,186.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010003942,MEDICORP PHARMACEUTICALS,IV,0000001101,0090016058,ZDOM,30-04-2023,DI2310200161,30-04-2023,0090000518,RV,"1,42,464.00",30-04-2023,279,0.00,"1,42,464.00",,G04,1000,01,"1,42,464.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010000572,TIRUPATI MEDILINES PVT. LTD.,IN,0000001101,0090016246,ZDOM,05-05-2023,DI2310200193,05-05-2023,0090000618,RV,"2,46,063.00",05-05-2023,274,0.00,"2,46,063.00",,G04,1000,01,"2,46,063.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010007064,ANCARE LIFE SCIENCES,IV,0000001101,0090016310,ZDOM,09-05-2023,DI2310200202,09-05-2023,0090000643,RV,"2,81,008.00",09-05-2023,270,0.00,"2,81,008.00",,G04,1000,01,"2,81,008.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010007823,M.H MEDICUS PRIVATE LIMITED,IN,0000001101,0090016382,ZDOM,11-05-2023,DI2310200207,11-05-2023,0090000662,RV,"4,29,177.00",11-05-2023,268,0.00,"4,29,177.00",,G04,1000,01,"4,29,177.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003100,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090016410,IV,12-05-2023,DI2310200212,12-05-2023,0090000676,RV,"1,03,639.00",12-05-2023,267,0.00,"1,03,639.00",,,1000,01,"1,03,639.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001101,0090016427,IV,12-05-2023,DI2310200214,12-05-2023,0090000683,RV,"6,30,112.00",12-05-2023,267,0.00,"6,30,112.00",,,1000,01,"6,30,112.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010000098,VENTUS PHARMACEUTICALS PRIVATE LIMI,IV,0000001101,0090016492,ZDOM,15-05-2023,DI2310200220,15-05-2023,0090000712,RV,"1,22,304.00",15-05-2023,264,0.00,"1,22,304.00",,G04,1000,01,"1,22,304.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010008660,THE CHIEF MEDICAL OFFICER KARGIL,IN,0000001101,0090016496,ZDOM,15-05-2023,DI2310200221,15-05-2023,0090000715,RV,"14,246.00",15-05-2023,264,0.00,"14,246.00",,G04,1000,01,"14,246.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010008659,MEDICAL SUPT DIST HOSPITAL KARGIL,IV,0000001101,0090016497,ZDOM,15-05-2023,DI2310200222,15-05-2023,0090000716,RV,"28,493.00",15-05-2023,264,0.00,"28,493.00",,G04,1000,01,"28,493.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010006946,CADLAY PHARMA PVT LTD,Ex,0000001101,0090016715,ZDOM,20-05-2023,DI2310200251,20-05-2023,0090000825,RV,0.00,20-05-2023,259,0.00,"5,66,832.00",,G03,1000,01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010006946,CADLAY PHARMA PVT LTD,Ex,0000001101,0090016716,ZDOM,20-05-2023,DI2310200252,20-05-2023,0090000826,RV,"2,33,159.00",20-05-2023,259,0.00,"2,33,159.00",,G03,1000,01,"2,33,159.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0010004524,J&K MEDICAL SUPPLIES CORPORATION LT,IN,0000001101,0090016721,ZDOM,20-05-2023,DI2310200254,20-05-2023,0090000830,RV,"8,120.00",20-05-2023,259,0.00,"8,120.00",,G04,1000,01,"8,120.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00
