Invoice No.,Billing Type,Company Code,Plant,Plant Name,Head Office,Invoice Date,Tax Invoice No.,Accounting Doc No.,Bill to Party,Bill to Party Name,Bill to Party PAN,Bill to Party GST No,Bill To State Code,Bill to State Name,Bill To District,Ship To Party,Ship To Party Name,Ship To PAN,Ship To GST No,Ship To State Code,Ship To State Name,Ship To District,Ship To City,Pay To Party,Pay To Party Name,Material Group 1,Material Group 1 Des,Item Code,Item Description,HSN Code,Batch Number,Sale Unit (UOM),Batch Quantity,Free/Sale,Mfg. Date,Exp Date,Exchange Rate,MRP,PTR,Sale Rate,Sales Amount,Discount %,Discount Amount,Net Amount,Plate Charges,Freight,Taxable Amount,IGST Rate,IGST Amount,CGST Rate,CGST Amount,SGST Rate,SGST Amount,Total Amt After Tax,TCS Base,TCS Amount,Round Off,Grand Total,Party Order No,Party Order Date,Vehicle No,LR No,Transporter Name,Payment Term,No of Boxes,Gross Weight of Prod,Distribution Channel,Division,Division Description,Sales Office,Sales Office Descrip,Sales Group,Sales Group Descript,Material Group,Material Group Descr,IRN No,Acknowledgement No,Eway Bill No,Shipment No.,Shipment Cost,Freight Amount,Service Entry Sheet,Freight PO NO,Sales Empolyee,HQ Code,Hospital Name
0090000622,ZDOM,1000,1000,,,06-11-2023,DI2312700008,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,3.00,0.17,5.38,0.00,0.00,5.38,12.00,0.65,0.00,0.00,0.00,0.00,0.65,0.00,0.00,-0.03,6.00,TEST FOR IRN,06-11-2023,,,,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,0000005673,,
0090000623,ZDOM,1000,1000,,,06-11-2023,DI2312700009,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,TO,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,"50,000.00",3.00,"1,500.00","48,500.00",0.00,0.00,"48,500.00",12.00,"5,820.00",0.00,0.00,0.00,0.00,"5,820.00",0.00,0.00,0.00,"54,320.00",TEST FOR IRN,06-11-2023,,,,"14 days 2%, 30 net",0,990.000,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,0000005673,,
0090000624,ZDOM,1000,1000,,,06-11-2023,DI2312700010,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,3.00,0.17,5.38,0.00,0.00,5.38,18.00,0.97,0.00,0.00,0.00,0.00,0.97,0.00,0.00,-0.35,6.00,TEST FOR IRN,06-11-2023,,,,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,0000005673,,
0090000625,ZDOM,1000,1000,,,06-11-2023,DI2312700011,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,3.00,0.17,5.38,0.00,0.00,5.38,18.00,0.97,0.00,0.00,0.00,0.00,0.97,0.00,0.00,-0.35,6.00,TEST FOR IRN,06-11-2023,,,,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,0000005673,,
0090000626,ZDOM,1000,1000,,,06-11-2023,DI2312700012,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,3.00,0.17,5.38,0.00,0.00,5.38,18.00,0.97,0.00,0.00,0.00,0.00,0.97,0.00,0.00,-0.35,6.00,TEST FOR IRN,06-11-2023,,,,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,89a4ce2fd5bfe44ef4bce78f8f0129eee28ff3e4d25cdcaf4421b7b844206abe,152310022710057,,,,0.00,,,0000005673,,
0090000627,ZDOM,1000,1000,,,06-11-2023,DI2312700013,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,3.00,0.17,5.38,0.00,0.00,5.38,18.00,0.97,0.00,0.00,0.00,0.00,0.97,0.00,0.00,-0.35,6.00,TEST FOR IRN,06-11-2023,,,,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,eb1f3fe422b319f49dbecd7ad7db323bf231bc7937e4f58a0937cc1a33aa6a4a,152310022710190,,,,0.00,,,0000005673,,
0090000628,ZDOM,1000,1000,,,06-11-2023,DI2312700014,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,3.00,0.17,5.38,0.00,0.00,5.38,18.00,0.97,0.00,0.00,0.00,0.00,0.97,0.00,0.00,-0.35,6.00,TEST FOR IRN,06-11-2023,,,,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,c6199baaab400f9c6e18774e3dafd32d79739a94ab496eda661966c55304ba33,152310022711366,,,,0.00,,,0000005673,,
0090000629,ZDOM,1000,1000,,,06-11-2023,DI2312700015,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,3.00,0.17,5.38,0.00,0.00,5.38,18.00,0.97,0.00,0.00,0.00,0.00,0.97,0.00,0.00,-0.35,6.00,TEST FOR IRN,06-11-2023,,,,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,0000005673,,
0090000630,ZDOM,1000,1000,,,06-11-2023,DI2312700016,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,3.00,0.17,5.38,0.00,0.00,5.38,18.00,0.97,0.00,0.00,0.00,0.00,0.97,0.00,0.00,-0.35,6.00,TEST FOR IRN,06-11-2023,,,,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,0000005673,,
0090000631,ZDOM,1000,1000,,,06-11-2023,DI2312700017,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,3.00,0.17,5.38,0.00,0.00,5.38,18.00,0.97,0.00,0.00,0.00,0.00,0.97,0.00,0.00,-0.35,6.00,TEST FOR IRN,06-11-2023,,,,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,11812b113a0bc128beea1f597191d8ee76cae104ceafae1548346a56b20691fd,152310022714521,,,,0.00,,,0000005673,,
0090000632,ZDOM,1000,1000,,,06-11-2023,DI2312700018,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,3.00,0.17,5.38,0.00,0.00,5.38,18.00,0.97,0.00,0.00,0.00,0.00,0.97,0.00,0.00,-0.35,6.00,TEST FOR IRN,06-11-2023,,,,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,,,,,,0.00,,,0000005673,,
0090000633,ZDOM,1000,1000,,,06-11-2023,DI2312700019,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,0.00,0.00,5.55,0.00,0.00,5.55,18.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.45,7.00,TEST FOR IRN,06-11-2023,MH04HM6632,,,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,511d15a2d8dabacb07c96b5f3f0bb3eb07e97d1f93c3632f09f2adb21de04422,152310022713036,,,,0.00,,,0000005899,,
0090000634,ZDOM,1000,1000,,,06-11-2023,DI2312700020,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,PC,10.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,555.55,0.00,0.00,555.55,0.00,0.00,555.55,18.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.45,656.00,SAPMMIT,06-11-2023,MH018103,79909,AISHWARYA TEST VENDOR 6,"14 days 2%, 30 net",0,11.000,10,01,Pharma Product,,,,,004,Ethical,b38a07d0fa0e0e8283c827b18d84b7c930a03c0b09461392afaa64a6e1e6996f,152310022720735,"\""541008896810\""",1191,,0.00,,,0000005673,,
0090000635,ZDOM,1000,1000,,,07-11-2023,DI2312700021,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,PC,10.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,555.55,0.00,0.00,555.55,0.00,0.00,555.55,18.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.45,656.00,SAPMMIT,07-11-2023,,,,"14 days 2%, 30 net",0,11.000,10,01,Pharma Product,,,,,004,Ethical,fb59c7ef0fcd3bcd8b3f3229f449fa5157fb73d2d9161baff6b8ab8fd2a3c3df,152310022720036,null,,,0.00,,,0000005673,,
0090000637,ZDOM,1000,1000,,,07-11-2023,DI2312700022,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,PC,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,55.55,0.00,0.00,55.55,0.00,0.00,55.55,18.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.45,66.00,SAPMMIT,07-11-2023,,,AISHWARYA TEST VENDOR 6,"14 days 2%, 30 net",0,1.100,10,01,Pharma Product,,,,,004,Ethical,,,,1194,,0.00,,,0000005673,,
0090000640,ZDOM,1000,1000,,,07-11-2023,DI2312700023,90000027,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,TO,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,"50,000.00",10.00,"5,000.00","45,000.00",0.00,0.00,"45,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"45,000.00",SAPMMIT,07-11-2023,,,AISHWARYA TEST VENDOR 6,"14 days 2%, 30 net",0,990.000,10,01,Pharma Product,,,,,004,Ethical,,,,1197,,0.00,,,0000005673,,
0090000641,ZST2,1000,1101,,,07-11-2023,DI2310200002,90000004,1200,Aishwarya Healthcare Zirakpur,AAOFA1208J,03AAOFA1208J1ZT,03,Punjab,Sas Nagar Mohali,1200,Aishwarya Healthcare Zirakpur,AAOFA1208J,03AAOFA1208J1ZT,03,Punjab,Sas Nagar Mohali,Zikarpur,1200,Aishwarya Healthcare Zirakpur,,,1100000001,Sodium Hydroxide USP,17019910,0000000346,EA,10.000,Sales,26.07.2023,26.07.2024,1.00,,,140.00,"1,400.00",0.00,0.00,"1,400.00",0.00,0.00,"1,400.00",12.00,168.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,568.00",,,,,,,0,0.000,30,01,Pharma Product,,,,,,,,,,,,0.00,,,,,
0090000642,ZDOM,1000,1000,,,08-11-2023,DI2312700024,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,TETS,08-11-2023,MH19BK1236,123456,Supplier,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,bfae0c0d2bc48f898063fe0577e727265bd8d14dd5bafaee9df157bddc4c4652,152310022721266,551008896813,1203,,0.00,,,0000005899,,
0090000643,ZDOM,1000,1000,,,08-11-2023,DI2312700025,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000042,AGROHA AGENCIES,AUGPS5369G,08AUGPS5369G1Z4,08,Rajasthan,,JAIPUR,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,test,08-11-2023,MH19BK1238,12345678,Supplier,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,b6b7a7fa4dc608aa3160f9c2afb918a2378e9243999db0ad711e82fa5397ebd6,152310022722052,561008896816,1206,,0.00,,,0000005673,,
0090000644,ZDOM,1000,1000,,,08-11-2023,DI2312700026,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,tets,08-11-2023,MH19BK1239,1212,V.K. ENGINEERING,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,0def0cc78f470b48b4107fcc8421cc02fcffb8ed23acc9fd396129c641721942,152310022722636,511008896824,1207,1062,0.00,,,0000005673,,
0090000645,ZDOM,1000,1000,,,08-11-2023,DI2312700027,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,10000041,SHANTI SURGICAL STORES,ABWPJ2902P,09ABWPJ2902P1ZY,09,Uttar Pradesh,,VARANASI,10000041,SHANTI SURGICAL STORES,004,Ethical,1400000002,Cipronir,30049099,0000000121,EA,1.000,Sales,15.11.2021,30.11.2025,1.00,310,100.00,50.00,5.55,10.00,0.56,4.99,0.00,0.00,4.99,18.00,0.90,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.11,6.00,test,08-11-2023,MH19BK1240,1121,Supplier,"14 days 2%, 30 net",0,0.110,10,01,Pharma Product,,,,,004,Ethical,00c81a2f596e569a4bcefa299d30df66ccde3e998d456cbdedb0fbbe22646920,152310022722937,551008896826,1208,,0.00,,,0000005673,,
