Customer Code,Customer Name,Customer Group,Profit Center,Document No.,Document Type,Invoice Date,Due Date,Reference No.,Reference Date,Balanace Due,Due Days,Doubtful Debt,Not Due,Billing Type,Sales Group,Sales Organization,Division,Billing Document,000to30Days,31to60Days,61to90Days,91to120Days,121to150Days,151to180Days,Above 180 Days,Legal,Written Off
0010008372,RADHA KRISHNA MEDICAL AGENCY,,0000001301,0090000186,RV,24-02-2022,24-02-2022,DI2111000025,24-02-2022,"21,420.00",754,"21,420.00",0.00,ZDOM,G09,1000,01,0090000443,0.00,0.00,0.00,0.00,0.00,0.00,"21,420.00",,"21,420.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000221,RV,26-02-2022,26-02-2022,DI2111100015,26-02-2022,"1,40,448.00",752,"1,40,448.00",0.00,IV,,1000,01,0090000518,0.00,0.00,0.00,0.00,0.00,0.00,"1,40,448.00",,"1,40,448.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000222,RV,26-02-2022,26-02-2022,DI2111100016,26-02-2022,"3,98,370.00",752,"3,98,370.00",0.00,IV,,1000,01,0090000519,0.00,0.00,0.00,0.00,0.00,0.00,"3,98,370.00",,"3,98,370.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000240,RV,26-02-2022,26-02-2022,DI2111100020,26-02-2022,"6,71,555.00",752,"6,71,555.00",0.00,IV,,1000,01,0090000557,0.00,0.00,0.00,0.00,0.00,0.00,"6,71,555.00",,"6,71,555.00"
0010008390,MALTI DISTRIBUTORS,Et,0000001301,0090000245,RV,28-02-2022,28-02-2022,DI2111000045,28-02-2022,"32,125.00",750,"32,125.00",0.00,ZDOM,G09,1000,01,0090000591,0.00,0.00,0.00,0.00,0.00,0.00,"32,125.00",,"32,125.00"
0010002890,RAJESWARI ENTERPRISES,CC,0000001200,0090000263,RV,28-02-2022,28-02-2022,DI2110300041,28-02-2022,0.00,750,"56,056.00",0.00,ZDOM,G08,1000,01,0090000643,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"56,056.00"
0010004443,MAHAVEER LIFE CARE,CC,0000001200,0090000266,RV,28-02-2022,28-02-2022,DI2110300043,28-02-2022,"25,536.00",750,"25,536.00",0.00,ZDOM,G08,1000,01,0090000646,0.00,0.00,0.00,0.00,0.00,0.00,"25,536.00",,"25,536.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000267,RV,28-02-2022,28-02-2022,DI2111100021,28-02-2022,"17,31,754.00",750,"17,31,754.00",0.00,IV,,1000,01,0090000647,0.00,0.00,0.00,0.00,0.00,0.00,"17,31,754.00",,"17,31,754.00"
0010008390,MALTI DISTRIBUTORS,Et,0000001301,0090000297,RV,28-02-2022,28-02-2022,DI2111000070,28-02-2022,"5,443.00",750,"5,443.00",0.00,ZDOM,G09,1000,01,0090000681,0.00,0.00,0.00,0.00,0.00,0.00,"5,443.00",,"5,443.00"
0010008372,RADHA KRISHNA MEDICAL AGENCY,,0000001301,0090000324,RV,02-03-2022,02-03-2022,DI2111000089,02-03-2022,"39,733.00",748,"39,733.00",0.00,ZDOM,G09,1000,01,0090000727,0.00,0.00,0.00,0.00,0.00,0.00,"39,733.00",,"39,733.00"
0010008372,RADHA KRISHNA MEDICAL AGENCY,01,0000001301,0090000325,RV,02-03-2022,02-03-2022,DI2111000090,02-03-2022,"1,800.00",748,"1,800.00",0.00,ZDOM,G09,1000,01,0090000728,0.00,0.00,0.00,0.00,0.00,0.00,"1,800.00",,"1,800.00"
0010005310,KAMLESH MEDICAL AGENCY,Et,0000001302,0090000332,RV,03-03-2022,03-03-2022,DI2110900014,03-03-2022,"33,695.00",747,"33,695.00",0.00,ZDOM,G09,1000,01,0090000758,0.00,0.00,0.00,0.00,0.00,0.00,"33,695.00",,"33,695.00"
0010007825,MAA AMBEY SURGICAL,CC,0000001301,0090000343,RV,04-03-2022,04-03-2022,DI2111000098,04-03-2022,"48,787.00",746,"48,787.00",0.00,ZDOM,G08,1000,01,0090000784,0.00,0.00,0.00,0.00,0.00,0.00,"48,787.00",,"48,787.00"
0010006362,D P PHARMA,Et,0000001301,0090000369,RV,07-03-2022,07-03-2022,DI2111000107,07-03-2022,"9,720.00",743,"9,720.00",0.00,ZDOM,G09,1000,01,0090000830,0.00,0.00,0.00,0.00,0.00,0.00,"9,720.00",,"9,720.00"
0010006362,D P PHARMA,Et,0000001301,0090000371,RV,08-03-2022,08-03-2022,DI2111000108,08-03-2022,"26,670.00",742,"26,670.00",0.00,ZDOM,G09,1000,01,0090000834,0.00,0.00,0.00,0.00,0.00,0.00,"26,670.00",,"26,670.00"
0010008390,MALTI DISTRIBUTORS,Et,0000001301,0090000411,RV,09-03-2022,09-03-2022,DI2111000128,09-03-2022,"7,560.00",741,"7,560.00",0.00,ZDOM,G09,1000,01,0090000894,0.00,0.00,0.00,0.00,0.00,0.00,"7,560.00",,"7,560.00"
0010008372,RADHA KRISHNA MEDICAL AGENCY,,0000001301,0090000415,RV,09-03-2022,09-03-2022,DI2111000132,09-03-2022,"7,560.00",741,"7,560.00",0.00,ZDOM,G09,1000,01,0090000898,0.00,0.00,0.00,0.00,0.00,0.00,"7,560.00",,"7,560.00"
0010008430,SHREE HEALTH CARE,Et,0000001302,0090000527,RV,15-03-2022,15-03-2022,DI2110900036,15-03-2022,"8,064.00",735,"8,064.00",0.00,ZDOM,G09,1000,01,0090001119,0.00,0.00,0.00,0.00,0.00,0.00,"8,064.00",,"8,064.00"
0010003939,MEDICINE ZONE,CC,0000001200,0090000528,RV,08-03-2022,08-03-2022,CN2110300003,08-03-2022,"-5,41,650.00",742,"-5,41,650.00",0.00,ZRCN,G08,1000,01,0090001123,0.00,0.00,0.00,0.00,0.00,0.00,"-5,41,650.00",,"-5,41,650.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000553,RV,16-03-2022,16-03-2022,DI2111100030,16-03-2022,"19,37,107.00",734,"19,37,107.00",0.00,IV,,1000,01,0090001174,0.00,0.00,0.00,0.00,0.00,0.00,"19,37,107.00",,"19,37,107.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000554,RV,16-03-2022,16-03-2022,DI2111100031,16-03-2022,"22,47,921.00",734,"22,47,921.00",0.00,IV,,1000,01,0090001175,0.00,0.00,0.00,0.00,0.00,0.00,"22,47,921.00",,"22,47,921.00"
0010002419,S R ENTERPRISES,Et,0000001301,0090000617,RV,23-03-2022,23-03-2022,DI2111000174,23-03-2022,"21,405.00",727,"21,405.00",0.00,ZDOM,G09,1000,01,0090001318,0.00,0.00,0.00,0.00,0.00,0.00,"21,405.00",,"21,405.00"
0010002419,S R ENTERPRISES,Et,0000001301,0090000618,RV,23-03-2022,23-03-2022,DI2111000175,23-03-2022,"2,335.00",727,"2,335.00",0.00,ZDOM,G09,1000,01,0090001319,0.00,0.00,0.00,0.00,0.00,0.00,"2,335.00",,"2,335.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000654,RV,24-03-2022,24-03-2022,DI2111100034,24-03-2022,"42,61,016.00",726,"42,61,016.00",0.00,IV,,1000,01,0090001396,0.00,0.00,0.00,0.00,0.00,0.00,"42,61,016.00",,"42,61,016.00"
0010004142,MUDRA INCORPORATION,CC,0000001200,0090000664,RV,26-03-2022,26-03-2022,DI2110300079,26-03-2022,"1,12,000.00",724,"1,12,000.00",0.00,ZDOM,G08,1000,01,0090001427,0.00,0.00,0.00,0.00,0.00,0.00,"1,12,000.00",,"1,12,000.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000690,RV,26-03-2022,26-03-2022,DI2111100037,26-03-2022,"1,73,136.00",724,"1,73,136.00",0.00,IV,,1000,01,0090001473,0.00,0.00,0.00,0.00,0.00,0.00,"1,73,136.00",,"1,73,136.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000691,RV,26-03-2022,26-03-2022,DI2111100038,26-03-2022,"45,08,330.00",724,"45,08,330.00",0.00,IV,,1000,01,0090001474,0.00,0.00,0.00,0.00,0.00,0.00,"45,08,330.00",,"45,08,330.00"
0010002206,SHEOSONS INDIA,CC,0000001200,0090000692,RV,28-03-2022,28-03-2022,DI2110300081,28-03-2022,"96,320.00",722,"96,320.00",0.00,ZDOM,G08,1000,01,0090001481,0.00,0.00,0.00,0.00,0.00,0.00,"96,320.00",,"96,320.00"
0010008439,KS PHARMA,Et,0000001302,0090000695,RV,28-03-2022,28-03-2022,DI2110900057,28-03-2022,"17,010.00",722,"17,010.00",0.00,ZDOM,G09,1000,01,0090001489,0.00,0.00,0.00,0.00,0.00,0.00,"17,010.00",,"17,010.00"
0010008439,KS PHARMA,Et,0000001302,0090000699,RV,28-03-2022,28-03-2022,DI2110900058,28-03-2022,"1,650.00",722,"1,650.00",0.00,ZDOM,G09,1000,01,0090001493,0.00,0.00,0.00,0.00,0.00,0.00,"1,650.00",,"1,650.00"
0010008430,SHREE HEALTH CARE,Et,0000001302,0090000741,RV,30-03-2022,30-03-2022,DI2110900070,30-03-2022,"15,120.00",720,"15,120.00",0.00,ZDOM,G09,1000,01,0090001588,0.00,0.00,0.00,0.00,0.00,0.00,"15,120.00",,"15,120.00"
0010008430,SHREE HEALTH CARE,Et,0000001302,0090000742,RV,30-03-2022,30-03-2022,DI2110900071,30-03-2022,"7,560.00",720,"7,560.00",0.00,ZDOM,G09,1000,01,0090001589,0.00,0.00,0.00,0.00,0.00,0.00,"7,560.00",,"7,560.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000748,RV,30-03-2022,30-03-2022,DI2111100042,30-03-2022,"48,21,038.00",720,"48,21,038.00",0.00,IV,,1000,01,0090001604,0.00,0.00,0.00,0.00,0.00,0.00,"48,21,038.00",,"48,21,038.00"
0010008443,MEDBIHEALTH CARE,Ge,0000001102,0090000758,RV,31-03-2022,31-03-2022,DI2111100043,31-03-2022,"1,28,514.00",719,"1,28,514.00",0.00,ZDOM,G07,1000,01,0090001635,0.00,0.00,0.00,0.00,0.00,0.00,"1,28,514.00",,"1,28,514.00"
0010008439,KS PHARMA,Et,0000001302,0090000773,RV,31-03-2022,31-03-2022,DI2110900077,31-03-2022,"7,761.00",719,"7,761.00",0.00,ZDOM,G09,1000,01,0090001672,0.00,0.00,0.00,0.00,0.00,0.00,"7,761.00",,"7,761.00"
0010008439,KS PHARMA,Et,0000001302,0090000775,RV,31-03-2022,31-03-2022,DI2110900078,31-03-2022,"6,873.00",719,"6,873.00",0.00,ZDOM,G09,1000,01,0090001674,0.00,0.00,0.00,0.00,0.00,0.00,"6,873.00",,"6,873.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000784,RV,31-03-2022,31-03-2022,DI2111100044,31-03-2022,"22,82,057.00",719,"22,82,057.00",0.00,IV,,1000,01,0090001690,0.00,0.00,0.00,0.00,0.00,0.00,"22,82,057.00",,"22,82,057.00"
0010004142,MUDRA INCORPORATION,CC,0000001200,0090000028,RV,02-04-2022,02-04-2022,DI2210300002,02-04-2022,"1,28,352.00",717,"1,28,352.00",0.00,ZDOM,G08,1000,01,0090001769,0.00,0.00,0.00,0.00,0.00,0.00,"1,28,352.00",,"1,28,352.00"
0010005907,GANDHI BROTHERS,CC,0000001200,0090000030,RV,02-04-2022,02-04-2022,DI2210300003,02-04-2022,"3,75,110.00",717,"3,75,110.00",0.00,ZDOM,G08,1000,01,0090001772,0.00,0.00,0.00,0.00,0.00,0.00,"3,75,110.00",,"3,75,110.00"
0010008430,SHREE HEALTH CARE,Et,0000001302,0090000032,RV,02-04-2022,02-04-2022,DI2210900001,02-04-2022,"7,270.00",717,"7,270.00",0.00,ZDOM,G09,1000,01,0090001787,0.00,0.00,0.00,0.00,0.00,0.00,"7,270.00",,"7,270.00"
0010008430,SHREE HEALTH CARE,Et,0000001302,0090000034,RV,02-04-2022,02-04-2022,DI2210900002,02-04-2022,"2,232.00",717,"2,232.00",0.00,ZDOM,G09,1000,01,0090001789,0.00,0.00,0.00,0.00,0.00,0.00,"2,232.00",,"2,232.00"
0010008450,SATHIYA PHARMA DISTRIBUTORS,CC,0000001200,0090000062,RV,05-04-2022,05-04-2022,DI2210300006,05-04-2022,"28,000.00",714,"28,000.00",0.00,ZDOM,G08,1000,01,0090001863,0.00,0.00,0.00,0.00,0.00,0.00,"28,000.00",,"28,000.00"
0010004040,MICROPARK LOGISTICS PVT LTD,Ge,0000001200,0090000065,RV,05-04-2022,05-04-2022,DI2210300008,05-04-2022,"4,69,840.00",714,"4,69,840.00",0.00,ZDOM,G08,1000,01,0090001866,0.00,0.00,0.00,0.00,0.00,0.00,"4,69,840.00",,"4,69,840.00"
0010005907,GANDHI BROTHERS,CC,0000001200,0090000071,RV,06-04-2022,06-04-2022,DI2210300010,06-04-2022,"88,480.00",713,"88,480.00",0.00,ZDOM,G08,1000,01,0090001880,0.00,0.00,0.00,0.00,0.00,0.00,"88,480.00",,"88,480.00"
0010004142,MUDRA INCORPORATION,CC,0000001200,0090000072,RV,06-04-2022,06-04-2022,DI2210300011,06-04-2022,"5,23,981.00",713,"5,23,981.00",0.00,ZDOM,G08,1000,01,0090001881,0.00,0.00,0.00,0.00,0.00,0.00,"5,23,981.00",,"5,23,981.00"
0010008372,RADHA KRISHNA MEDICAL AGENCY,,0000001301,0090000095,RV,07-04-2022,07-04-2022,DI2211000043,07-04-2022,"11,200.00",712,"11,200.00",0.00,ZDOM,G09,1000,01,0090001932,0.00,0.00,0.00,0.00,0.00,0.00,"11,200.00",,"11,200.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000114,RV,08-04-2022,08-04-2022,DI2211100005,08-04-2022,"11,47,768.00",711,"11,47,768.00",0.00,IV,,1000,01,0090001968,0.00,0.00,0.00,0.00,0.00,0.00,"11,47,768.00",,"11,47,768.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000115,RV,08-04-2022,08-04-2022,DI2211100006,08-04-2022,"5,10,321.00",711,"5,10,321.00",0.00,IV,,1000,01,0090001969,0.00,0.00,0.00,0.00,0.00,0.00,"5,10,321.00",,"5,10,321.00"
0010004142,MUDRA INCORPORATION,CC,0000001200,0090000121,RV,09-04-2022,09-04-2022,DI2210300021,09-04-2022,"1,79,200.00",710,"1,79,200.00",0.00,ZDOM,G08,1000,01,0090001995,0.00,0.00,0.00,0.00,0.00,0.00,"1,79,200.00",,"1,79,200.00"
0010002206,SHEOSONS INDIA,CC,0000001200,0090000134,RV,09-04-2022,09-04-2022,DI2210300024,09-04-2022,"2,40,800.00",710,"2,40,800.00",0.00,ZDOM,G08,1000,01,0090002016,0.00,0.00,0.00,0.00,0.00,0.00,"2,40,800.00",,"2,40,800.00"
0010007616,ALACTIS PHARMACEUTICALS PRIVATE LIM,CC,0000001200,0090000141,RV,11-04-2022,11-04-2022,DI2210300027,11-04-2022,"4,38,245.00",708,"4,38,245.00",0.00,ZDOM,G08,1000,01,0090002048,0.00,0.00,0.00,0.00,0.00,0.00,"4,38,245.00",,"4,38,245.00"
0010004040,MICROPARK LOGISTICS PVT LTD,Ge,0000001200,0090000142,RV,11-04-2022,11-04-2022,DI2210300028,11-04-2022,"40,880.00",708,"40,880.00",0.00,ZDOM,G08,1000,01,0090002049,0.00,0.00,0.00,0.00,0.00,0.00,"40,880.00",,"40,880.00"
0010006644,B M PHARMA & HEALTHCARE PVT. LTD.,CC,0000001200,0090000148,RV,11-04-2022,11-04-2022,DI2210300031,11-04-2022,"7,38,847.00",708,"7,38,847.00",0.00,ZDOM,G08,1000,01,0090002061,0.00,0.00,0.00,0.00,0.00,0.00,"7,38,847.00",,"7,38,847.00"
0010003968,MEDPRO AGENCIES PVT LTD,CC,0000001200,0090000173,RV,13-04-2022,13-04-2022,DI2210300033,13-04-2022,"4,01,839.00",706,"4,01,839.00",0.00,ZDOM,G08,1000,01,0090002134,0.00,0.00,0.00,0.00,0.00,0.00,"4,01,839.00",,"4,01,839.00"
0000001301,Aishwarya Healthcare,,0000001200,0090000179,RV,14-04-2022,14-04-2022,DI2210300035,14-04-2022,"5,646.00",705,"5,646.00",0.00,ZST2,,1000,01,0090002164,0.00,0.00,0.00,0.00,0.00,0.00,"5,646.00",,"5,646.00"
0010005122,JAY GOPAL PHARMA,Et,0000001301,0090000190,RV,14-04-2022,14-04-2022,DI2211000079,14-04-2022,"20,582.00",705,"20,582.00",0.00,ZDOM,G09,1000,01,0090002179,0.00,0.00,0.00,0.00,0.00,0.00,"20,582.00",,"20,582.00"
0010005122,JAY GOPAL PHARMA,Et,0000001301,0090000192,RV,14-04-2022,14-04-2022,DI2211000080,14-04-2022,"2,835.00",705,"2,835.00",0.00,ZDOM,G09,1000,01,0090002188,0.00,0.00,0.00,0.00,0.00,0.00,"2,835.00",,"2,835.00"
0010008469,VIVEK PHARMA,Et,0000001301,0090000232,RV,19-04-2022,19-04-2022,DI2211000098,19-04-2022,"44,532.00",700,"44,532.00",0.00,ZDOM,G09,1000,01,0090002287,0.00,0.00,0.00,0.00,0.00,0.00,"44,532.00",,"44,532.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000241,RV,20-04-2022,20-04-2022,DI2210200070,20-04-2022,"18,973.00",699,"18,973.00",0.00,ZDOM,G06,1000,01,0090002314,0.00,0.00,0.00,0.00,0.00,0.00,"18,973.00",,"18,973.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000242,RV,20-04-2022,20-04-2022,DI2210200071,20-04-2022,"14,094.00",699,"14,094.00",0.00,ZDOM,G06,1000,01,0090002315,0.00,0.00,0.00,0.00,0.00,0.00,"14,094.00",,"14,094.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000243,RV,20-04-2022,20-04-2022,DI2210200072,20-04-2022,"14,636.00",699,"14,636.00",0.00,ZDOM,G06,1000,01,0090002316,0.00,0.00,0.00,0.00,0.00,0.00,"14,636.00",,"14,636.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000244,RV,20-04-2022,20-04-2022,DI2210200073,20-04-2022,"25,207.00",699,"25,207.00",0.00,ZDOM,G06,1000,01,0090002317,0.00,0.00,0.00,0.00,0.00,0.00,"25,207.00",,"25,207.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000245,RV,20-04-2022,20-04-2022,DI2210200074,20-04-2022,"29,137.00",699,"29,137.00",0.00,ZDOM,G06,1000,01,0090002318,0.00,0.00,0.00,0.00,0.00,0.00,"29,137.00",,"29,137.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000246,RV,20-04-2022,20-04-2022,DI2210200075,20-04-2022,"12,468.00",699,"12,468.00",0.00,ZDOM,G06,1000,01,0090002319,0.00,0.00,0.00,0.00,0.00,0.00,"12,468.00",,"12,468.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000247,RV,20-04-2022,20-04-2022,DI2210200076,20-04-2022,"11,384.00",699,"11,384.00",0.00,ZDOM,G06,1000,01,0090002320,0.00,0.00,0.00,0.00,0.00,0.00,"11,384.00",,"11,384.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000248,RV,20-04-2022,20-04-2022,DI2210200077,20-04-2022,"11,384.00",699,"11,384.00",0.00,ZDOM,G06,1000,01,0090002321,0.00,0.00,0.00,0.00,0.00,0.00,"11,384.00",,"11,384.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000249,RV,20-04-2022,20-04-2022,DI2210200078,20-04-2022,"10,435.00",699,"10,435.00",0.00,ZDOM,G06,1000,01,0090002322,0.00,0.00,0.00,0.00,0.00,0.00,"10,435.00",,"10,435.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000250,RV,20-04-2022,20-04-2022,DI2210200079,20-04-2022,"6,640.00",699,"6,640.00",0.00,ZDOM,G06,1000,01,0090002326,0.00,0.00,0.00,0.00,0.00,0.00,"6,640.00",,"6,640.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000251,RV,20-04-2022,20-04-2022,DI2210200080,20-04-2022,"8,131.00",699,"8,131.00",0.00,ZDOM,G06,1000,01,0090002327,0.00,0.00,0.00,0.00,0.00,0.00,"8,131.00",,"8,131.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000252,RV,20-04-2022,20-04-2022,DI2210200081,20-04-2022,"7,318.00",699,"7,318.00",0.00,ZDOM,G06,1000,01,0090002328,0.00,0.00,0.00,0.00,0.00,0.00,"7,318.00",,"7,318.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000253,RV,20-04-2022,20-04-2022,DI2210200082,20-04-2022,"5,421.00",699,"5,421.00",0.00,ZDOM,G06,1000,01,0090002329,0.00,0.00,0.00,0.00,0.00,0.00,"5,421.00",,"5,421.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000254,RV,20-04-2022,20-04-2022,DI2210200083,20-04-2022,"9,215.00",699,"9,215.00",0.00,ZDOM,G06,1000,01,0090002330,0.00,0.00,0.00,0.00,0.00,0.00,"9,215.00",,"9,215.00"
0010005411,KERALA MEDICAL SERVICES CORP LTD,IN,0000001101,0090000255,RV,20-04-2022,20-04-2022,DI2210200084,20-04-2022,"5,285.00",699,"5,285.00",0.00,ZDOM,G06,1000,01,0090002331,0.00,0.00,0.00,0.00,0.00,0.00,"5,285.00",,"5,285.00"
0010004142,MUDRA INCORPORATION,CC,0000001200,0090000261,RV,20-04-2022,20-04-2022,DI2210300045,20-04-2022,"7,88,368.00",699,"7,88,368.00",0.00,ZDOM,G08,1000,01,0090002350,0.00,0.00,0.00,0.00,0.00,0.00,"7,88,368.00",,"7,88,368.00"
0010004040,MICROPARK LOGISTICS PVT LTD,Ge,0000001200,0090000262,RV,20-04-2022,20-04-2022,DI2210300046,20-04-2022,"6,32,792.00",699,"6,32,792.00",0.00,ZDOM,G08,1000,01,0090002352,0.00,0.00,0.00,0.00,0.00,0.00,"6,32,792.00",,"6,32,792.00"
0010007616,ALACTIS PHARMACEUTICALS PRIVATE LIM,CC,0000001200,0090000266,RV,20-04-2022,20-04-2022,DI2210300047,20-04-2022,"2,93,664.00",699,"2,93,664.00",0.00,ZDOM,G08,1000,01,0090002367,0.00,0.00,0.00,0.00,0.00,0.00,"2,93,664.00",,"2,93,664.00"
0010004847,LABORATE PHARMACEUTICALS INDIA LTD.,IV,0000001101,0090000267,RV,20-04-2022,20-04-2022,DI2210200091,20-04-2022,0.00,699,"6,54,528.00",0.00,ZDOM,G03,1000,01,0090002368,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"6,54,528.00"
0010002206,SHEOSONS INDIA,CC,0000001200,0090000271,RV,21-04-2022,21-04-2022,DI2210300049,21-04-2022,"4,07,051.00",698,"4,07,051.00",0.00,ZDOM,G08,1000,01,0090002372,0.00,0.00,0.00,0.00,0.00,0.00,"4,07,051.00",,"4,07,051.00"
0010006644,B M PHARMA & HEALTHCARE PVT. LTD.,CC,0000001200,0090000285,RV,21-04-2022,21-04-2022,DI2210300053,21-04-2022,"2,20,192.00",698,"2,20,192.00",0.00,ZDOM,G08,1000,01,0090002398,0.00,0.00,0.00,0.00,0.00,0.00,"2,20,192.00",,"2,20,192.00"
0010006252,CHANDRA PHARMA,Et,0000001301,0090000313,RV,23-04-2022,23-04-2022,DI2211000112,23-04-2022,"20,203.00",696,"20,203.00",0.00,ZDOM,G09,1000,01,0090002459,0.00,0.00,0.00,0.00,0.00,0.00,"20,203.00",,"20,203.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000320,RV,23-04-2022,23-04-2022,DI2211100011,23-04-2022,"14,07,467.00",696,"14,07,467.00",0.00,IV,,1000,01,0090002470,0.00,0.00,0.00,0.00,0.00,0.00,"14,07,467.00",,"14,07,467.00"
0000003200,CELEBRITY BIOPHARMA LIMITED,,0000001102,0090000331,RV,23-04-2022,23-04-2022,DI2211100013,23-04-2022,"6,03,025.00",696,"6,03,025.00",0.00,IV,,1000,01,0090002491,0.00,0.00,0.00,0.00,0.00,0.00,"6,03,025.00",,"6,03,025.00"
