CustCode.;Doc. No.;CustName;CustGrp;PrfitCentr;DocuType;InvDate;DueDate.;ReferNo;ReferenDt;BalanaDue;DueDays.;DoutfulDeb;NotDue;BillinType;SalesGroup;SalesOrga;Division;BillinDocu;0to30Days;31to60Days;61to90Days;91to120Day;121to150Day;151to180Da;Abve180Day;Legal;WrittenOff;Due Amount;Overdue Amount;Timestamp;Status
0000001200;0090000109;AISHWARYA HEALTHCARE;;0000003100;RV;26.02.2022;26.02.2022;DI2130200060;26.02.2022;41.933,00;00840;41.933,00;0,00;IV;;3000;01;0090000526;0,00;41.933,00;0,00;0,00;0,00;0,00;0,00;;41.933,00;0,00;41.933,00;20.240.617.140.855,0000000;Update
0000001200;0090000119;AISHWARYA HEALTHCARE;;0000003100;RV;27.02.2022;27.02.2022;DI2130200068;27.02.2022;134.988,00;00839;134.988,00;0,00;IV;;3000;01;0090000569;0,00;134.988,00;0,00;0,00;0,00;0,00;0,00;;134.988,00;0,00;134.988,00;20.240.617.140.855,0000000;Update
0000003200;0090000120;CELEBRITY BIOPHARMA LIMITED;;0000003100;RV;27.02.2022;27.02.2022;DI2130200069;27.02.2022;744.605,00;00839;744.605,00;0,00;ZST2;;3000;01;0090000570;0,00;744.605,00;0,00;0,00;0,00;0,00;0,00;;744.605,00;0,00;744.605,00;20.240.617.140.855,0000000;Update
0010006350;0090000164;CSC PHARMACEUTICALS PRIVATE LI;Ge;0000003100;RV;03.03.2022;03.03.2022;DI2130200101;03.03.2022;45.859,00;00835;45.859,00;0,00;ZDOM;G06;3000;01;0090000741;0,00;45.859,00;0,00;0,00;0,00;0,00;0,00;;45.859,00;0,00;45.859,00;20.240.617.140.855,0000000;Update
0010006350;0090000165;CSC PHARMACEUTICALS PRIVATE LI;Ge;0000003100;RV;03.03.2022;03.03.2022;DI2130200102;03.03.2022;71.707,00;00835;71.707,00;0,00;ZDOM;G06;3000;01;0090000742;0,00;71.707,00;0,00;0,00;0,00;0,00;0,00;;71.707,00;0,00;71.707,00;20.240.617.140.855,0000000;Update
0010002023;0090000172;SATYAM SYNERGY INDIA PRIVATE L;Ge;0000003200;RV;03.03.2022;03.03.2022;DI2130300068;03.03.2022;374.896,00;00835;374.896,00;0,00;ZDOM;G06;3000;01;0090000764;0,00;374.896,00;0,00;0,00;0,00;0,00;0,00;;374.896,00;0,00;374.896,00;20.240.617.140.855,0000000;Update
0010002023;0090000173;SATYAM SYNERGY INDIA PRIVATE L;Ge;0000003200;RV;03.03.2022;03.03.2022;DI2130300069;03.03.2022;17.009,00;00835;17.009,00;0,00;ZDOM;G06;3000;01;0090000765;0,00;17.009,00;0,00;0,00;0,00;0,00;0,00;;17.009,00;0,00;17.009,00;20.240.617.140.855,0000000;Update
0010002023;0090000174;SATYAM SYNERGY INDIA PRIVATE L;Ge;0000003200;RV;03.03.2022;03.03.2022;DI2130300070;03.03.2022;324.099,00;00835;324.099,00;0,00;ZDOM;G06;3000;01;0090000766;0,00;324.099,00;0,00;0,00;0,00;0,00;0,00;;324.099,00;0,00;324.099,00;20.240.617.140.855,0000000;Update
0010002023;0090000178;SATYAM SYNERGY INDIA PRIVATE L;Ge;0000003200;RV;04.03.2022;04.03.2022;DI2130300074;04.03.2022;53.993,00;00834;53.993,00;0,00;ZDOM;G06;3000;01;0090000775;0,00;53.993,00;0,00;0,00;0,00;0,00;0,00;;53.993,00;0,00;53.993,00;20.240.617.140.855,0000000;Update
0010006350;0090000195;CSC PHARMACEUTICALS PRIVATE LI;Ge;0000003100;RV;05.03.2022;05.03.2022;DI2130200110;05.03.2022;267.522,00;00833;267.522,00;0,00;ZDOM;G06;3000;01;0090000793;0,00;267.522,00;0,00;0,00;0,00;0,00;0,00;;267.522,00;0,00;267.522,00;20.240.617.140.855,0000000;Update
0010004996;0090000185;LINUX LABORATORIES PVT LTD;Ge;0000003100;RV;05.03.2022;05.03.2022;CN2130200003;05.03.2022;103.569,00-;00833;103.569,00-;0,00;ZRCN;G06;3000;01;0090000811;0,00;103.569,00-;0,00;0,00;0,00;0,00;0,00;;103.569,00-;0,00;103.569,00-;20.240.617.140.855,0000000;Update
0010004996;0090000189;LINUX LABORATORIES PVT LTD;Ge;0000003100;RV;02.03.2022;02.03.2022;CN2130200004;02.03.2022;8.844,00-;00836;8.844,00-;0,00;ZRCN;G06;3000;01;0090000833;0,00;8.844,00-;0,00;0,00;0,00;0,00;0,00;;8.844,00-;0,00;8.844,00-;20.240.617.140.855,0000000;Update
0010006346;0090000276;CPTHAKKAR AND COMPANY (PHARMA);Ge;0000003100;RV;10.03.2022;10.03.2022;DI2130300088;10.03.2022;833.457,00;00828;833.457,00;0,00;ZDOM;G06;3000;01;0090000956;0,00;833.457,00;0,00;0,00;0,00;0,00;0,00;;833.457,00;0,00;833.457,00;20.240.617.140.855,0000000;Update
0010008415;0090000222;SEKMED PHARMACEUTICALS;Ge;0000003100;RV;11.03.2022;11.03.2022;DI2130200131;11.03.2022;85.648,00;00827;85.648,00;0,00;ZDOM;G04;3000;01;0090000961;0,00;85.648,00;0,00;0,00;0,00;0,00;0,00;;85.648,00;0,00;85.648,00;20.240.617.140.855,0000000;Update
0010003199;0090000250;PARSHVA HEALTHCARE;Ge;0000003100;RV;14.03.2022;14.03.2022;DI2130300109;14.03.2022;951.982,00;00824;951.982,00;0,00;ZDOM;G06;3000;01;0090001068;0,00;951.982,00;0,00;0,00;0,00;0,00;0,00;;951.982,00;0,00;951.982,00;20.240.617.140.855,0000000;Update
0010003199;0090000251;PARSHVA HEALTHCARE;Ge;0000003200;RV;14.03.2022;14.03.2022;DI2130300110;14.03.2022;99.892,00;00824;99.892,00;0,00;ZDOM;G06;3000;01;0090001069;0,00;99.892,00;0,00;0,00;0,00;0,00;0,00;;99.892,00;0,00;99.892,00;20.240.617.140.855,0000000;Update
0000001200;0090000272;AISHWARYA HEALTHCARE;;0000003100;RV;17.03.2022;17.03.2022;DI2130200152;17.03.2022;449.680,00;00821;449.680,00;0,00;IV;;3000;01;0090001177;0,00;449.680,00;0,00;0,00;0,00;0,00;0,00;;449.680,00;0,00;449.680,00;20.240.617.140.855,0000000;Update
0000001101;0090000295;AISHWARYA HEALTHCARE;;0000003100;RV;23.03.2022;23.03.2022;DI2130200165;23.03.2022;22.863,00;00815;22.863,00;0,00;IV;;3000;01;0090001295;0,00;22.863,00;0,00;0,00;0,00;0,00;0,00;;22.863,00;0,00;22.863,00;20.240.617.140.855,0000000;Update
0010005875;0090000312;FDC LIMITED;Ge;0000003100;RV;24.03.2022;24.03.2022;DI2130200174;24.03.2022;2.800,00;00814;2.800,00;0,00;ZDOM;G06;3000;01;0090001366;0,00;2.800,00;0,00;0,00;0,00;0,00;0,00;;2.800,00;0,00;2.800,00;20.240.617.140.855,0000000;Update
0000001200;0090000315;AISHWARYA HEALTHCARE;;0000003100;RV;24.03.2022;24.03.2022;DI2130200175;24.03.2022;281.050,00;00814;281.050,00;0,00;IV;;3000;01;0090001370;0,00;281.050,00;0,00;0,00;0,00;0,00;0,00;;281.050,00;0,00;281.050,00;20.240.617.140.855,0000000;Update
0000001200;0090000319;AISHWARYA HEALTHCARE;;0000003100;RV;25.03.2022;25.03.2022;DI2130200178;25.03.2022;20.668,00;00813;20.668,00;0,00;IV;;3000;01;0090001409;0,00;20.668,00;0,00;0,00;0,00;0,00;0,00;;20.668,00;0,00;20.668,00;20.240.617.140.855,0000000;Update
0000001200;0090000320;AISHWARYA HEALTHCARE;;0000003100;RV;25.03.2022;25.03.2022;DI2130200179;25.03.2022;27.464,00;00813;27.464,00;0,00;IV;;3000;01;0090001410;0,00;27.464,00;0,00;0,00;0,00;0,00;0,00;;27.464,00;0,00;27.464,00;20.240.617.140.855,0000000;Update
0010006560;0090000335;DURGA PHARMA;Ge;0000003200;RV;25.03.2022;25.03.2022;DI2130300141;25.03.2022;14.855,00;00813;14.855,00;0,00;ZDOM;G06;3000;01;0090001420;0,00;14.855,00;0,00;0,00;0,00;0,00;0,00;;14.855,00;0,00;14.855,00;20.240.617.140.855,0000000;Update
0010006346;0090000329;CPTHAKKAR AND COMPANY (PHARMA);Ge;0000003200;RV;26.03.2022;26.03.2022;DI2130300145;26.03.2022;56.000,00;00812;56.000,00;0,00;ZDOM;G06;3000;01;0090001458;0,00;56.000,00;0,00;0,00;0,00;0,00;0,00;;56.000,00;0,00;56.000,00;20.240.617.140.855,0000000;Update
0010006346;0090000330;CPTHAKKAR AND COMPANY (PHARMA);Ge;0000003200;RV;26.03.2022;26.03.2022;DI2130300146;26.03.2022;262.521,00;00812;262.521,00;0,00;ZDOM;G06;3000;01;0090001459;0,00;262.521,00;0,00;0,00;0,00;0,00;0,00;;262.521,00;0,00;262.521,00;20.240.617.140.855,0000000;Update
0010006346;0090000331;CPTHAKKAR AND COMPANY (PHARMA);Ge;0000003200;RV;26.03.2022;26.03.2022;DI2130300147;26.03.2022;64.532,00;00812;64.532,00;0,00;ZDOM;G06;3000;01;0090001460;0,00;64.532,00;0,00;0,00;0,00;0,00;0,00;;64.532,00;0,00;64.532,00;20.240.617.140.855,0000000;Update
0000001200;0090000347;AISHWARYA HEALTHCARE;;0000003100;RV;29.03.2022;29.03.2022;DI2130200188;29.03.2022;411.412,00;00809;411.412,00;0,00;IV;;3000;01;0090001549;0,00;411.412,00;0,00;0,00;0,00;0,00;0,00;;411.412,00;0,00;411.412,00;20.240.617.140.855,0000000;Update
0000001200;0090000365;AISHWARYA HEALTHCARE;;0000003100;RV;30.03.2022;30.03.2022;DI2130200201;30.03.2022;149.408,00;00808;149.408,00;0,00;IV;;3000;01;0090001594;0,00;149.408,00;0,00;0,00;0,00;0,00;0,00;;149.408,00;0,00;149.408,00;20.240.617.140.855,0000000;Update
0010006560;0090000372;DURGA PHARMA;Ge;0000003200;RV;30.03.2022;30.03.2022;DI2130300162;30.03.2022;61.485,00;00808;61.485,00;0,00;ZDOM;G06;3000;01;0090001615;0,00;61.485,00;0,00;0,00;0,00;0,00;0,00;;61.485,00;0,00;61.485,00;20.240.617.140.855,0000000;Update
0000001200;0090000378;AISHWARYA HEALTHCARE;;0000003100;RV;31.03.2022;31.03.2022;DI2130200209;31.03.2022;76.272,00;00807;76.272,00;0,00;IV;;3000;01;0090001632;0,00;76.272,00;0,00;0,00;0,00;0,00;0,00;;76.272,00;0,00;76.272,00;20.240.617.140.855,0000000;Update
0000001200;0090000008;AISHWARYA HEALTHCARE;;0000003100;RV;04.04.2022;04.04.2022;DI2230200006;04.04.2022;59.756,00;00803;59.756,00;0,00;IV;;3000;01;0090001823;0,00;59.756,00;0,00;0,00;0,00;0,00;0,00;;59.756,00;0,00;59.756,00;20.240.617.140.855,0000000;Update
0000001200;0090000009;AISHWARYA HEALTHCARE;;0000003100;RV;04.04.2022;04.04.2022;DI2230200007;04.04.2022;33.426,00;00803;33.426,00;0,00;IV;;3000;01;0090001824;0,00;33.426,00;0,00;0,00;0,00;0,00;0,00;;33.426,00;0,00;33.426,00;20.240.617.140.855,0000000;Update
0000001200;0090000010;AISHWARYA HEALTHCARE;;0000003100;RV;04.04.2022;04.04.2022;DI2230200008;04.04.2022;33.426,00;00803;33.426,00;0,00;IV;;3000;01;0090001825;0,00;33.426,00;0,00;0,00;0,00;0,00;0,00;;33.426,00;0,00;33.426,00;20.240.617.140.855,0000000;Update
0000001200;0090000011;AISHWARYA HEALTHCARE;;0000003100;RV;04.04.2022;04.04.2022;DI2230200009;04.04.2022;151.872,00;00803;151.872,00;0,00;IV;;3000;01;0090001827;0,00;151.872,00;0,00;0,00;0,00;0,00;0,00;;151.872,00;0,00;151.872,00;20.240.617.140.855,0000000;Update
0000001200;0090000012;AISHWARYA HEALTHCARE;;0000003100;RV;04.04.2022;04.04.2022;DI2230200010;04.04.2022;104.832,00;00803;104.832,00;0,00;IV;;3000;01;0090001828;0,00;104.832,00;0,00;0,00;0,00;0,00;0,00;;104.832,00;0,00;104.832,00;20.240.617.140.855,0000000;Update
0010006346;0090000019;CPTHAKKAR AND COMPANY (PHARMA);Ge;0000003200;RV;06.04.2022;06.04.2022;DI2230300004;06.04.2022;949.532,00;00801;949.532,00;0,00;ZDOM;G06;3000;01;0090001884;0,00;949.532,00;0,00;0,00;0,00;0,00;0,00;;949.532,00;0,00;949.532,00;20.240.617.140.855,0000000;Update
0010006346;0090000020;CPTHAKKAR AND COMPANY (PHARMA);Ge;0000003200;RV;06.04.2022;06.04.2022;DI2230300005;06.04.2022;38.178,00;00801;38.178,00;0,00;ZDOM;G06;3000;01;0090001885;0,00;38.178,00;0,00;0,00;0,00;0,00;0,00;;38.178,00;0,00;38.178,00;20.240.617.140.855,0000000;Update
0000001101;0090000047;AISHWARYA HEALTHCARE;;0000003100;RV;11.04.2022;11.04.2022;DI2230200032;11.04.2022;15.930,00;00796;15.930,00;0,00;IV;;3000;01;0090002035;0,00;15.930,00;0,00;0,00;0,00;0,00;0,00;;15.930,00;0,00;15.930,00;20.240.617.140.855,0000000;Update
0000001200;0090000062;AISHWARYA HEALTHCARE;;0000003100;RV;12.04.2022;12.04.2022;DI2230200043;12.04.2022;90.552,00;00795;90.552,00;0,00;IV;;3000;01;0090002086;0,00;90.552,00;0,00;0,00;0,00;0,00;0,00;;90.552,00;0,00;90.552,00;20.240.617.140.855,0000000;Update
0000001200;0090000063;AISHWARYA HEALTHCARE;;0000003100;RV;12.04.2022;12.04.2022;DI2230200044;12.04.2022;16.744,00;00795;16.744,00;0,00;IV;;3000;01;0090002087;0,00;16.744,00;0,00;0,00;0,00;0,00;0,00;;16.744,00;0,00;16.744,00;20.240.617.140.855,0000000;Update
0010003199;0090000091;PARSHVA HEALTHCARE;Ge;0000003200;RV;14.04.2022;14.04.2022;DI2230300036;14.04.2022;1.226.604,00;00793;1.226.604,00;0,00;ZDOM;G06;3000;01;0090002180;0,00;1.226.604,00;0,00;0,00;0,00;0,00;0,00;;1.226.604,00;0,00;1.226.604,00;20.240.617.140.855,0000000;Update
0010002023;0090000094;SATYAM SYNERGY INDIA PRIVATE L;Ge;0000003200;RV;15.04.2022;15.04.2022;DI2230300037;15.04.2022;903.160,00;00792;903.160,00;0,00;ZDOM;G06;3000;01;0090002199;0,00;903.160,00;0,00;0,00;0,00;0,00;0,00;;903.160,00;0,00;903.160,00;20.240.617.140.855,0000000;Update
0010006560;0090000095;DURGA PHARMA;Ge;0000003200;RV;15.04.2022;15.04.2022;DI2230300038;15.04.2022;47.914,00;00792;47.914,00;0,00;ZDOM;G06;3000;01;0090002203;0,00;47.914,00;0,00;0,00;0,00;0,00;0,00;;47.914,00;0,00;47.914,00;20.240.617.140.855,0000000;Update
0000001200;0090000098;AISHWARYA HEALTHCARE;;0000003100;RV;18.04.2022;18.04.2022;DI2230200060;18.04.2022;729.456,00;00789;729.456,00;0,00;IV;;3000;01;0090002231;0,00;729.456,00;0,00;0,00;0,00;0,00;0,00;;729.456,00;0,00;729.456,00;20.240.617.140.855,0000000;Update
0000001200;0090000099;AISHWARYA HEALTHCARE;;0000003100;RV;18.04.2022;18.04.2022;DI2230200061;18.04.2022;415.135,00;00789;415.135,00;0,00;IV;;3000;01;0090002233;0,00;415.135,00;0,00;0,00;0,00;0,00;0,00;;415.135,00;0,00;415.135,00;20.240.617.140.855,0000000;Update
0000001200;0090000100;AISHWARYA HEALTHCARE;;0000003100;RV;18.04.2022;18.04.2022;DI2230200062;18.04.2022;186.144,00;00789;186.144,00;0,00;IV;;3000;01;0090002236;0,00;186.144,00;0,00;0,00;0,00;0,00;0,00;;186.144,00;0,00;186.144,00;20.240.617.140.855,0000000;Update
0000001200;0090000102;AISHWARYA HEALTHCARE;;0000003100;RV;18.04.2022;18.04.2022;DI2230200064;18.04.2022;119.287,00;00789;119.287,00;0,00;IV;;3000;01;0090002242;0,00;119.287,00;0,00;0,00;0,00;0,00;0,00;;119.287,00;0,00;119.287,00;20.240.617.140.855,0000000;Update
0000001200;0090000114;AISHWARYA HEALTHCARE;;0000003100;RV;19.04.2022;19.04.2022;DI2230200075;19.04.2022;524.160,00;00788;524.160,00;0,00;IV;;3000;01;0090002295;0,00;524.160,00;0,00;0,00;0,00;0,00;0,00;;524.160,00;0,00;524.160,00;20.240.617.140.855,0000000;Update
0000001200;0090000115;AISHWARYA HEALTHCARE;;0000003100;RV;19.04.2022;19.04.2022;DI2230200076;19.04.2022;57.841,00;00788;57.841,00;0,00;IV;;3000;01;0090002296;0,00;57.841,00;0,00;0,00;0,00;0,00;0,00;;57.841,00;0,00;57.841,00;20.240.617.140.855,0000000;Update
0000001200;0090000116;AISHWARYA HEALTHCARE;;0000003100;RV;19.04.2022;19.04.2022;DI2230200077;19.04.2022;92.029,00;00788;92.029,00;0,00;IV;;3000;01;0090002297;0,00;92.029,00;0,00;0,00;0,00;0,00;0,00;;92.029,00;0,00;92.029,00;20.240.617.140.855,0000000;Update
0000001200;0090000121;AISHWARYA HEALTHCARE;;0000003100;RV;19.04.2022;19.04.2022;DI2230200081;19.04.2022;192.192,00;00788;192.192,00;0,00;IV;;3000;01;0090002310;0,00;192.192,00;0,00;0,00;0,00;0,00;0,00;;192.192,00;0,00;192.192,00;20.240.617.140.855,0000000;Update
0000001200;0090000122;AISHWARYA HEALTHCARE;;0000003100;RV;20.04.2022;20.04.2022;DI2230200082;20.04.2022;44.388,00;00787;44.388,00;0,00;IV;;3000;01;0090002333;0,00;44.388,00;0,00;0,00;0,00;0,00;0,00;;44.388,00;0,00;44.388,00;20.240.617.140.855,0000000;Update
0000001200;0090000141;AISHWARYA HEALTHCARE;;0000003100;RV;22.04.2022;22.04.2022;DI2230200093;22.04.2022;320.393,00;00785;320.393,00;0,00;IV;;3000;01;0090002426;0,00;320.393,00;0,00;0,00;0,00;0,00;0,00;;320.393,00;0,00;320.393,00;20.240.617.140.855,0000000;Update
0010007406;0090000142;A K REMEDIES;Ge;0000003200;RV;22.04.2022;22.04.2022;DI2230300048;22.04.2022;0,00;00785;525.676,00;0,00;ZDOM;G06;3000;01;0090002433;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;525.676,00;0,00;0,00;20.240.617.140.855,0000000;Update
0000001200;0090000168;AISHWARYA HEALTHCARE;;0000003100;RV;27.04.2022;27.04.2022;DI2230200107;27.04.2022;83.716,00;00780;83.716,00;0,00;IV;;3000;01;0090002586;0,00;83.716,00;0,00;0,00;0,00;0,00;0,00;;83.716,00;0,00;83.716,00;20.240.617.140.855,0000000;Update
0000001200;0090000169;AISHWARYA HEALTHCARE;;0000003100;RV;27.04.2022;27.04.2022;DI2230200108;27.04.2022;352.983,00;00780;352.983,00;0,00;IV;;3000;01;0090002588;0,00;352.983,00;0,00;0,00;0,00;0,00;0,00;;352.983,00;0,00;352.983,00;20.240.617.140.855,0000000;Update
0000001200;0090000170;AISHWARYA HEALTHCARE;;0000003100;RV;27.04.2022;27.04.2022;DI2230200109;27.04.2022;1.043.466,00;00780;1.043.466,00;0,00;IV;;3000;01;0090002589;0,00;1.043.466,00;0,00;0,00;0,00;0,00;0,00;;1.043.466,00;0,00;1.043.466,00;20.240.617.140.855,0000000;Update
0010005875;0090000224;FDC LIMITED;Ge;0000003100;RV;03.05.2022;03.05.2022;DI2230200142;03.05.2022;5.040,00;00774;5.040,00;0,00;ZDOM;G06;3000;01;0090002882;0,00;5.040,00;0,00;0,00;0,00;0,00;0,00;;5.040,00;0,00;5.040,00;20.240.617.140.855,0000000;Update
0000001200;0090000228;AISHWARYA HEALTHCARE;;0000003100;RV;03.05.2022;03.05.2022;DI2230200146;03.05.2022;60.333,00;00774;60.333,00;0,00;IV;;3000;01;0090002890;0,00;60.333,00;0,00;0,00;0,00;0,00;0,00;;60.333,00;0,00;60.333,00;20.240.617.140.855,0000000;Update
0010004633;0090000229;MEDCO PHARMA;Ge;0000003200;RV;04.05.2022;04.05.2022;DI2230300081;04.05.2022;0,00;00773;98.628,00;0,00;ZDOM;G06;3000;01;0090002912;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;98.628,00;0,00;0,00;20.240.617.140.855,0000000;Update
0000001200;0090000233;AISHWARYA HEALTHCARE;;0000003100;RV;04.05.2022;04.05.2022;DI2230200150;04.05.2022;262.080,00;00773;262.080,00;0,00;IV;;3000;01;0090002931;0,00;262.080,00;0,00;0,00;0,00;0,00;0,00;;262.080,00;0,00;262.080,00;20.240.617.140.855,0000000;Update
0000001200;0090000234;AISHWARYA HEALTHCARE;;0000003100;RV;04.05.2022;04.05.2022;DI2230200151;04.05.2022;143.485,00;00773;143.485,00;0,00;IV;;3000;01;0090002932;0,00;143.485,00;0,00;0,00;0,00;0,00;0,00;;143.485,00;0,00;143.485,00;20.240.617.140.855,0000000;Update
0010007624;0090000240;ALENCURE BIOTECH PVT LTD;Ge;0000003100;RV;05.05.2022;05.05.2022;DI2230200153;05.05.2022;45.644,00;00772;45.644,00;0,00;ZDOM;G07;3000;01;0090002954;0,00;45.644,00;0,00;0,00;0,00;0,00;0,00;;45.644,00;0,00;45.644,00;20.240.617.140.855,0000000;Update
0000001200;0090000249;AISHWARYA HEALTHCARE;;0000003100;RV;06.05.2022;06.05.2022;DI2230200161;06.05.2022;37.607,00;00771;37.607,00;0,00;IV;;3000;01;0090002984;0,00;37.607,00;0,00;0,00;0,00;0,00;0,00;;37.607,00;0,00;37.607,00;20.240.617.140.855,0000000;Update
0010003199;0090000252;PARSHVA HEALTHCARE;Ge;0000003200;RV;06.05.2022;06.05.2022;DI2230300087;06.05.2022;197.837,00;00771;197.837,00;0,00;ZDOM;G06;3000;01;0090002996;0,00;197.837,00;0,00;0,00;0,00;0,00;0,00;;197.837,00;0,00;197.837,00;20.240.617.140.855,0000000;Update
0000001200;0090000257;AISHWARYA HEALTHCARE;;0000003100;RV;07.05.2022;07.05.2022;DI2230200166;07.05.2022;132.508,00;00770;132.508,00;0,00;IV;;3000;01;0090003016;0,00;132.508,00;0,00;0,00;0,00;0,00;0,00;;132.508,00;0,00;132.508,00;20.240.617.140.855,0000000;Update
0000001200;0090000259;AISHWARYA HEALTHCARE;;0000003100;RV;07.05.2022;07.05.2022;DI2230200168;07.05.2022;159.008,00;00770;159.008,00;0,00;IV;;3000;01;0090003018;0,00;159.008,00;0,00;0,00;0,00;0,00;0,00;;159.008,00;0,00;159.008,00;20.240.617.140.855,0000000;Update
0010007624;0090000278;ALENCURE BIOTECH PVT LTD;Ge;0000003100;RV;11.05.2022;11.05.2022;DI2230200176;11.05.2022;90.738,00;00766;90.738,00;0,00;ZMOI;G07;3000;01;0090003122;0,00;90.738,00;0,00;0,00;0,00;0,00;0,00;;90.738,00;0,00;90.738,00;20.240.617.140.855,0000000;Update
0000001200;0090000286;AISHWARYA HEALTHCARE;;0000003100;RV;13.05.2022;13.05.2022;DI2230200181;13.05.2022;55.706,00;00764;55.706,00;0,00;IV;;3000;01;0090003165;0,00;55.706,00;0,00;0,00;0,00;0,00;0,00;;55.706,00;0,00;55.706,00;20.240.617.140.855,0000000;Update
0000001200;0090000310;AISHWARYA HEALTHCARE;;0000003100;RV;18.05.2022;18.05.2022;DI2230200199;18.05.2022;123.032,00;00759;123.032,00;0,00;IV;;3000;01;0090003286;0,00;123.032,00;0,00;0,00;0,00;0,00;0,00;;123.032,00;0,00;123.032,00;20.240.617.140.855,0000000;Update
0000001200;0090000311;AISHWARYA HEALTHCARE;;0000003100;RV;18.05.2022;18.05.2022;DI2230200200;18.05.2022;80.791,00;00759;80.791,00;0,00;IV;;3000;01;0090003287;0,00;80.791,00;0,00;0,00;0,00;0,00;0,00;;80.791,00;0,00;80.791,00;20.240.617.140.855,0000000;Update
0000001200;0090000312;AISHWARYA HEALTHCARE;;0000003100;RV;18.05.2022;18.05.2022;DI2230200201;18.05.2022;131.600,00;00759;131.600,00;0,00;IV;;3000;01;0090003288;0,00;131.600,00;0,00;0,00;0,00;0,00;0,00;;131.600,00;0,00;131.600,00;20.240.617.140.855,0000000;Update
