CustCode.,CustName,CustGrp,PrfitCentr,DocumeNo.,DocuType,InvDate,DueDate.,ReferNo,ReferenDt,BalanaDue,DueDays.,DoutfulDeb,NotDue,BillinType,SalesGroup,SalesOrga,Division,BillinDocu,0to30Days,31to60Days,61to90Days,91to120Day,121to150Da,151to180Da,Abve180Day,Legal,WrittenOff
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000221,RV,2/26/2022,2/26/2022,DI2111100015,2/26/2022,"1,40,448.00",754,"1,40,448.00",0,IV,,1000,1,90000518,0,0,0,0,0,0,"1,40,448.00",,"1,40,448.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000222,RV,2/26/2022,2/26/2022,DI2111100016,2/26/2022,"3,98,370.00",754,"3,98,370.00",0,IV,,1000,1,90000519,0,0,0,0,0,0,"3,98,370.00",,"3,98,370.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000240,RV,2/26/2022,2/26/2022,DI2111100020,2/26/2022,"6,71,555.00",754,"6,71,555.00",0,IV,,1000,1,90000557,0,0,0,0,0,0,"6,71,555.00",,"6,71,555.00"
10004443,MAHAVEER LIFE CARE,CC,1200,90000266,RV,2/28/2022,2/28/2022,DI2110300043,2/28/2022,"25,536.00",752,"25,536.00",0,ZDOM,G08,1000,1,90000646,0,0,0,0,0,0,"25,536.00",,"25,536.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000267,RV,2/28/2022,2/28/2022,DI2111100021,2/28/2022,"17,31,754.00",752,"17,31,754.00",0,IV,,1000,1,90000647,0,0,0,0,0,0,"17,31,754.00",,"17,31,754.00"
10008372,RADHA KRISHNA MEDICAL AGENCY,,1301,90000325,RV,03-02-2022,03-02-2022,DI2111000090,03-02-2022,"1,800.00",750,"1,800.00",0,ZDOM,G09,1000,1,90000728,0,0,0,0,0,0,"1,800.00",,"1,800.00"
10008372,RADHA KRISHNA MEDICAL AGENCY,,1301,90000415,RV,03-09-2022,03-09-2022,DI2111000132,03-09-2022,"7,560.00",743,"7,560.00",0,ZDOM,G09,1000,1,90000898,0,0,0,0,0,0,"7,560.00",,"7,560.00"
10003939,MEDICINE ZONE,CC,1200,90000528,RV,03-08-2022,03-08-2022,CN2110300003,03-08-2022,"-5,41,650.00",744,"-5,41,650.00",0,ZRCN,G08,1000,1,90001123,0,0,0,0,0,0,"-5,41,650.00",,"-5,41,650.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000553,RV,3/16/2022,3/16/2022,DI2111100030,3/16/2022,"19,37,107.00",736,"19,37,107.00",0,IV,,1000,1,90001174,0,0,0,0,0,0,"19,37,107.00",,"19,37,107.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000554,RV,3/16/2022,3/16/2022,DI2111100031,3/16/2022,"22,47,921.00",736,"22,47,921.00",0,IV,,1000,1,90001175,0,0,0,0,0,0,"22,47,921.00",,"22,47,921.00"
10002419,S R ENTERPRISES,Et,1301,90000617,RV,3/23/2022,3/23/2022,DI2111000174,3/23/2022,"21,405.00",729,"21,405.00",0,ZDOM,G09,1000,1,90001318,0,0,0,0,0,0,"21,405.00",,"21,405.00"
10002419,S R ENTERPRISES,Et,1301,90000618,RV,3/23/2022,3/23/2022,DI2111000175,3/23/2022,"2,335.00",729,"2,335.00",0,ZDOM,G09,1000,1,90001319,0,0,0,0,0,0,"2,335.00",,"2,335.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000654,RV,3/24/2022,3/24/2022,DI2111100034,3/24/2022,"42,61,016.00",728,"42,61,016.00",0,IV,,1000,1,90001396,0,0,0,0,0,0,"42,61,016.00",,"42,61,016.00"
10004142,MUDRA INCORPORATION,CC,1200,90000664,RV,3/26/2022,3/26/2022,DI2110300079,3/26/2022,"1,12,000.00",726,"1,12,000.00",0,ZDOM,G08,1000,1,90001427,0,0,0,0,0,0,"1,12,000.00",,"1,12,000.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000690,RV,3/26/2022,3/26/2022,DI2111100037,3/26/2022,"1,73,136.00",726,"1,73,136.00",0,IV,,1000,1,90001473,0,0,0,0,0,0,"1,73,136.00",,"1,73,136.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000691,RV,3/26/2022,3/26/2022,DI2111100038,3/26/2022,"45,08,330.00",726,"45,08,330.00",0,IV,,1000,1,90001474,0,0,0,0,0,0,"45,08,330.00",,"45,08,330.00"
10002206,SHEOSONS INDIA,CC,1200,90000692,RV,3/28/2022,3/28/2022,DI2110300081,3/28/2022,"96,320.00",724,"96,320.00",0,ZDOM,G08,1000,1,90001481,0,0,0,0,0,0,"96,320.00",,"96,320.00"
10008430,SHREE HEALTH CARE,Et,1302,90000742,RV,3/30/2022,3/30/2022,DI2110900071,3/30/2022,"7,560.00",722,"7,560.00",0,ZDOM,G09,1000,1,90001589,0,0,0,0,0,0,"7,560.00",,"7,560.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000748,RV,3/30/2022,3/30/2022,DI2111100042,3/30/2022,"48,21,038.00",722,"48,21,038.00",0,IV,,1000,1,90001604,0,0,0,0,0,0,"48,21,038.00",,"48,21,038.00"
10008443,MEDBIHEALTH CARE,Ge,1102,90000758,RV,3/31/2022,3/31/2022,DI2111100043,3/31/2022,"1,28,514.00",721,"1,28,514.00",0,ZDOM,G07,1000,1,90001635,0,0,0,0,0,0,"1,28,514.00",,"1,28,514.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000784,RV,3/31/2022,3/31/2022,DI2111100044,3/31/2022,"22,82,057.00",721,"22,82,057.00",0,IV,,1000,1,90001690,0,0,0,0,0,0,"22,82,057.00",,"22,82,057.00"
10004142,MUDRA INCORPORATION,CC,1200,90000028,RV,04-02-2022,04-02-2022,DI2210300002,04-02-2022,"1,28,352.00",719,"1,28,352.00",0,ZDOM,G08,1000,1,90001769,0,0,0,0,0,0,"1,28,352.00",,"1,28,352.00"
10005907,GANDHI BROTHERS,CC,1200,90000030,RV,04-02-2022,04-02-2022,DI2210300003,04-02-2022,"3,75,110.00",719,"3,75,110.00",0,ZDOM,G08,1000,1,90001772,0,0,0,0,0,0,"3,75,110.00",,"3,75,110.00"
10008430,SHREE HEALTH CARE,Et,1302,90000032,RV,04-02-2022,04-02-2022,DI2210900001,04-02-2022,"7,270.00",719,"7,270.00",0,ZDOM,G09,1000,1,90001787,0,0,0,0,0,0,"7,270.00",,"7,270.00"
10008430,SHREE HEALTH CARE,Et,1302,90000034,RV,04-02-2022,04-02-2022,DI2210900002,04-02-2022,"2,232.00",719,"2,232.00",0,ZDOM,G09,1000,1,90001789,0,0,0,0,0,0,"2,232.00",,"2,232.00"
10008450,SATHIYA PHARMA DISTRIBUTORS,CC,1200,90000062,RV,04-05-2022,04-05-2022,DI2210300006,04-05-2022,"28,000.00",716,"28,000.00",0,ZDOM,G08,1000,1,90001863,0,0,0,0,0,0,"28,000.00",,"28,000.00"
10004040,MICROPARK LOGISTICS PVT LTD,Ge,1200,90000065,RV,04-05-2022,04-05-2022,DI2210300008,04-05-2022,"4,69,840.00",716,"4,69,840.00",0,ZDOM,G08,1000,1,90001866,0,0,0,0,0,0,"4,69,840.00",,"4,69,840.00"
10005907,GANDHI BROTHERS,CC,1200,90000071,RV,04-06-2022,04-06-2022,DI2210300010,04-06-2022,"88,480.00",715,"88,480.00",0,ZDOM,G08,1000,1,90001880,0,0,0,0,0,0,"88,480.00",,"88,480.00"
10004142,MUDRA INCORPORATION,CC,1200,90000072,RV,04-06-2022,04-06-2022,DI2210300011,04-06-2022,"5,23,981.00",715,"5,23,981.00",0,ZDOM,G08,1000,1,90001881,0,0,0,0,0,0,"5,23,981.00",,"5,23,981.00"
10008372,RADHA KRISHNA MEDICAL AGENCY,1,1301,90000095,RV,04-07-2022,04-07-2022,DI2211000043,04-07-2022,"11,200.00",714,"11,200.00",0,ZDOM,G09,1000,1,90001932,0,0,0,0,0,0,"11,200.00",,"11,200.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000114,RV,04-08-2022,04-08-2022,DI2211100005,04-08-2022,"11,47,768.00",713,"11,47,768.00",0,IV,,1000,1,90001968,0,0,0,0,0,0,"11,47,768.00",,"11,47,768.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000115,RV,04-08-2022,04-08-2022,DI2211100006,04-08-2022,"5,10,321.00",713,"5,10,321.00",0,IV,,1000,1,90001969,0,0,0,0,0,0,"5,10,321.00",,"5,10,321.00"
10004142,MUDRA INCORPORATION,CC,1200,90000121,RV,04-09-2022,04-09-2022,DI2210300021,04-09-2022,"1,79,200.00",712,"1,79,200.00",0,ZDOM,G08,1000,1,90001995,0,0,0,0,0,0,"1,79,200.00",,"1,79,200.00"
10002206,SHEOSONS INDIA,CC,1200,90000134,RV,04-09-2022,04-09-2022,DI2210300024,04-09-2022,"2,40,800.00",712,"2,40,800.00",0,ZDOM,G08,1000,1,90002016,0,0,0,0,0,0,"2,40,800.00",,"2,40,800.00"
10007616,ALACTIS PHARMACEUTICALS PRIVATE LIM,CC,1200,90000141,RV,04-11-2022,04-11-2022,DI2210300027,04-11-2022,"4,38,245.00",710,"4,38,245.00",0,ZDOM,G08,1000,1,90002048,0,0,0,0,0,0,"4,38,245.00",,"4,38,245.00"
10004040,MICROPARK LOGISTICS PVT LTD,Ge,1200,90000142,RV,04-11-2022,04-11-2022,DI2210300028,04-11-2022,"40,880.00",710,"40,880.00",0,ZDOM,G08,1000,1,90002049,0,0,0,0,0,0,"40,880.00",,"40,880.00"
10006644,B M PHARMA & HEALTHCARE PVT. LTD.,CC,1200,90000148,RV,04-11-2022,04-11-2022,DI2210300031,04-11-2022,"7,38,847.00",710,"7,38,847.00",0,ZDOM,G08,1000,1,90002061,0,0,0,0,0,0,"7,38,847.00",,"7,38,847.00"
10003968,MEDPRO AGENCIES PVT LTD,CC,1200,90000173,RV,4/13/2022,4/13/2022,DI2210300033,4/13/2022,"4,01,839.00",708,"4,01,839.00",0,ZDOM,G08,1000,1,90002134,0,0,0,0,0,0,"4,01,839.00",,"4,01,839.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000241,RV,4/20/2022,4/20/2022,DI2210200070,4/20/2022,"18,973.00",701,"18,973.00",0,ZDOM,G06,1000,1,90002314,0,0,0,0,0,0,"18,973.00",,"18,973.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000242,RV,4/20/2022,4/20/2022,DI2210200071,4/20/2022,"14,094.00",701,"14,094.00",0,ZDOM,G06,1000,1,90002315,0,0,0,0,0,0,"14,094.00",,"14,094.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000243,RV,4/20/2022,4/20/2022,DI2210200072,4/20/2022,"14,636.00",701,"14,636.00",0,ZDOM,G06,1000,1,90002316,0,0,0,0,0,0,"14,636.00",,"14,636.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000244,RV,4/20/2022,4/20/2022,DI2210200073,4/20/2022,"25,207.00",701,"25,207.00",0,ZDOM,G06,1000,1,90002317,0,0,0,0,0,0,"25,207.00",,"25,207.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000245,RV,4/20/2022,4/20/2022,DI2210200074,4/20/2022,"29,137.00",701,"29,137.00",0,ZDOM,G06,1000,1,90002318,0,0,0,0,0,0,"29,137.00",,"29,137.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000246,RV,4/20/2022,4/20/2022,DI2210200075,4/20/2022,"12,468.00",701,"12,468.00",0,ZDOM,G06,1000,1,90002319,0,0,0,0,0,0,"12,468.00",,"12,468.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000247,RV,4/20/2022,4/20/2022,DI2210200076,4/20/2022,"11,384.00",701,"11,384.00",0,ZDOM,G06,1000,1,90002320,0,0,0,0,0,0,"11,384.00",,"11,384.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000248,RV,4/20/2022,4/20/2022,DI2210200077,4/20/2022,"11,384.00",701,"11,384.00",0,ZDOM,G06,1000,1,90002321,0,0,0,0,0,0,"11,384.00",,"11,384.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000249,RV,4/20/2022,4/20/2022,DI2210200078,4/20/2022,"10,435.00",701,"10,435.00",0,ZDOM,G06,1000,1,90002322,0,0,0,0,0,0,"10,435.00",,"10,435.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000250,RV,4/20/2022,4/20/2022,DI2210200079,4/20/2022,"6,640.00",701,"6,640.00",0,ZDOM,G06,1000,1,90002326,0,0,0,0,0,0,"6,640.00",,"6,640.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000251,RV,4/20/2022,4/20/2022,DI2210200080,4/20/2022,"8,131.00",701,"8,131.00",0,ZDOM,G06,1000,1,90002327,0,0,0,0,0,0,"8,131.00",,"8,131.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000252,RV,4/20/2022,4/20/2022,DI2210200081,4/20/2022,"7,318.00",701,"7,318.00",0,ZDOM,G06,1000,1,90002328,0,0,0,0,0,0,"7,318.00",,"7,318.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000253,RV,4/20/2022,4/20/2022,DI2210200082,4/20/2022,"5,421.00",701,"5,421.00",0,ZDOM,G06,1000,1,90002329,0,0,0,0,0,0,"5,421.00",,"5,421.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000254,RV,4/20/2022,4/20/2022,DI2210200083,4/20/2022,"9,215.00",701,"9,215.00",0,ZDOM,G06,1000,1,90002330,0,0,0,0,0,0,"9,215.00",,"9,215.00"
10005411,KERALA MEDICAL SERVICES CORP LTD,IN,1101,90000255,RV,4/20/2022,4/20/2022,DI2210200084,4/20/2022,"5,285.00",701,"5,285.00",0,ZDOM,G06,1000,1,90002331,0,0,0,0,0,0,"5,285.00",,"5,285.00"
10004142,MUDRA INCORPORATION,CC,1200,90000261,RV,4/20/2022,4/20/2022,DI2210300045,4/20/2022,"7,88,368.00",701,"7,88,368.00",0,ZDOM,G08,1000,1,90002350,0,0,0,0,0,0,"7,88,368.00",,"7,88,368.00"
10004040,MICROPARK LOGISTICS PVT LTD,Ge,1200,90000262,RV,4/20/2022,4/20/2022,DI2210300046,4/20/2022,"6,32,792.00",701,"6,32,792.00",0,ZDOM,G08,1000,1,90002352,0,0,0,0,0,0,"6,32,792.00",,"6,32,792.00"
10007616,ALACTIS PHARMACEUTICALS PRIVATE LIM,CC,1200,90000266,RV,4/20/2022,4/20/2022,DI2210300047,4/20/2022,"2,93,664.00",701,"2,93,664.00",0,ZDOM,G08,1000,1,90002367,0,0,0,0,0,0,"2,93,664.00",,"2,93,664.00"
10002206,SHEOSONS INDIA,CC,1200,90000271,RV,4/21/2022,4/21/2022,DI2210300049,4/21/2022,"4,07,051.00",700,"4,07,051.00",0,ZDOM,G08,1000,1,90002372,0,0,0,0,0,0,"4,07,051.00",,"4,07,051.00"
10006644,B M PHARMA & HEALTHCARE PVT. LTD.,CC,1200,90000285,RV,4/21/2022,4/21/2022,DI2210300053,4/21/2022,"2,20,192.00",700,"2,20,192.00",0,ZDOM,G08,1000,1,90002398,0,0,0,0,0,0,"2,20,192.00",,"2,20,192.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000320,RV,4/23/2022,4/23/2022,DI2211100011,4/23/2022,"14,07,467.00",698,"14,07,467.00",0,IV,,1000,1,90002470,0,0,0,0,0,0,"14,07,467.00",,"14,07,467.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000331,RV,4/23/2022,4/23/2022,DI2211100013,4/23/2022,"6,03,025.00",698,"6,03,025.00",0,IV,,1000,1,90002491,0,0,0,0,0,0,"6,03,025.00",,"6,03,025.00"
10002206,SHEOSONS INDIA,CC,1200,90000358,RV,4/26/2022,4/26/2022,DI2210300073,4/26/2022,"1,78,080.00",695,"1,78,080.00",0,ZDOM,G08,1000,1,90002545,0,0,0,0,0,0,"1,78,080.00",,"1,78,080.00"
10005907,GANDHI BROTHERS,CC,1200,90000359,RV,4/26/2022,4/26/2022,DI2210300074,4/26/2022,"2,35,750.00",695,"2,35,750.00",0,ZDOM,G08,1000,1,90002547,0,0,0,0,0,0,"2,35,750.00",,"2,35,750.00"
10004142,MUDRA INCORPORATION,CC,1200,90000373,RV,4/27/2022,4/27/2022,DI2210300078,4/27/2022,"2,30,024.00",694,"2,30,024.00",0,ZDOM,G08,1000,1,90002594,0,0,0,0,0,0,"2,30,024.00",,"2,30,024.00"
10001068,SSC PHARMA INC,CC,1200,90000374,RV,4/27/2022,4/27/2022,DI2210300079,4/27/2022,"2,21,984.00",694,"2,21,984.00",0,ZDOM,G08,1000,1,90002595,0,0,0,0,0,0,"2,21,984.00",,"2,21,984.00"
10006644,B M PHARMA & HEALTHCARE PVT. LTD.,CC,1200,90000378,RV,4/27/2022,4/27/2022,DI2210300080,4/27/2022,"1,12,000.00",694,"1,12,000.00",0,ZDOM,G08,1000,1,90002610,0,0,0,0,0,0,"1,12,000.00",,"1,12,000.00"
10004142,MUDRA INCORPORATION,CC,1200,90000386,RV,4/28/2022,4/28/2022,DI2210300081,4/28/2022,"2,28,838.00",693,"2,28,838.00",0,ZDOM,G08,1000,1,90002626,0,0,0,0,0,0,"2,28,838.00",,"2,28,838.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000530,RV,4/29/2022,4/29/2022,DI2211100017,4/29/2022,"9,50,477.00",692,"9,50,477.00",0,IV,,1000,1,90002669,0,0,0,0,0,0,"9,50,477.00",,"9,50,477.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000531,RV,4/29/2022,4/29/2022,DI2211100018,4/29/2022,"96,426.00",692,"96,426.00",0,IV,,1000,1,90002670,0,0,0,0,0,0,"96,426.00",,"96,426.00"
10004142,MUDRA INCORPORATION,CC,1200,90000427,RV,4/29/2022,4/29/2022,DI2210300089,4/29/2022,"4,10,511.00",692,"4,10,511.00",0,ZDOM,G08,1000,1,90002706,0,0,0,0,0,0,"4,10,511.00",,"4,10,511.00"
10002206,SHEOSONS INDIA,CC,1200,90000449,RV,4/30/2022,4/30/2022,DI2210300090,4/30/2022,"1,89,146.00",691,"1,89,146.00",0,ZDOM,G08,1000,1,90002752,0,0,0,0,0,0,"1,89,146.00",,"1,89,146.00"
10004142,MUDRA INCORPORATION,CC,1200,90000472,RV,4/30/2022,4/30/2022,DI2210300092,4/30/2022,"1,99,500.00",691,"1,99,500.00",0,ZDOM,G08,1000,1,90002791,0,0,0,0,0,0,"1,99,500.00",,"1,99,500.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000480,RV,4/30/2022,4/30/2022,DI2211100022,4/30/2022,"8,98,007.00",691,"8,98,007.00",0,IV,,1000,1,90002800,0,0,0,0,0,0,"8,98,007.00",,"8,98,007.00"
10008030,SUMEET MEDICAL & WHOLESALE AGENCY,CC,1200,90000497,RV,4/30/2022,4/30/2022,DI2210300094,4/30/2022,"97,093.00",691,"97,093.00",0,ZDOM,G08,1000,1,90002819,0,0,0,0,0,0,"97,093.00",,"97,093.00"
10004142,MUDRA INCORPORATION,CC,1200,90000565,RV,05-05-2022,05-05-2022,DI2210300101,05-05-2022,"4,45,021.00",686,"4,45,021.00",0,ZDOM,G08,1000,1,90002973,0,0,0,0,0,0,"4,45,021.00",,"4,45,021.00"
10007616,ALACTIS PHARMACEUTICALS PRIVATE LIM,CC,1200,90000569,RV,05-06-2022,05-06-2022,DI2210300102,05-06-2022,"3,63,953.00",685,"3,63,953.00",0,ZDOM,G08,1000,1,90002991,0,0,0,0,0,0,"3,63,953.00",,"3,63,953.00"
10008385,TRIVEDI MEDICAL AGENVY,,1302,90000632,RV,05-11-2022,05-11-2022,CN2210900004,05-11-2022,"-19,064.00",680,"-19,064.00",0,ZRCN,G09,1000,1,90003114,0,0,0,0,0,0,"-19,064.00",,"-19,064.00"
10002206,SHEOSONS INDIA,CC,1200,90000658,RV,5/13/2022,5/13/2022,DI2210300111,5/13/2022,"45,360.00",678,"45,360.00",0,ZDOM,G08,1000,1,90003159,0,0,0,0,0,0,"45,360.00",,"45,360.00"
10005423,KHANDELWAL ENTERPRISES,Ge,1200,90000659,RV,5/13/2022,5/13/2022,DI2210300112,5/13/2022,"15,120.00",678,"15,120.00",0,ZDOM,G08,1000,1,90003160,0,0,0,0,0,0,"15,120.00",,"15,120.00"
10004040,MICROPARK LOGISTICS PVT LTD,Ge,1200,90000660,RV,5/13/2022,5/13/2022,DI2210300113,5/13/2022,"5,67,818.00",678,"5,67,818.00",0,ZDOM,G08,1000,1,90003161,0,0,0,0,0,0,"5,67,818.00",,"5,67,818.00"
10008477,MEDPRO AGENCIES,CC,1200,90000679,RV,5/16/2022,5/16/2022,CN2210300002,5/16/2022,"-1,95,311.00",675,"-1,95,311.00",0,ZRCN,G08,1000,1,90003203,0,0,0,0,0,0,"-1,95,311.00",,"-1,95,311.00"
10001068,SSC PHARMA INC,CC,1200,90000692,RV,5/16/2022,5/16/2022,DI2210300119,5/16/2022,"3,02,400.00",675,"3,02,400.00",0,ZDOM,G08,1000,1,90003224,0,0,0,0,0,0,"3,02,400.00",,"3,02,400.00"
10000460,SVASTHYA PHARMA ENTERPRISE,CC,1200,90000705,RV,5/17/2022,5/17/2022,DI2210300122,5/17/2022,"29,568.00",674,"29,568.00",0,ZDOM,G08,1000,1,90003250,0,0,0,0,0,0,"29,568.00",,"29,568.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000717,RV,5/18/2022,5/18/2022,DI2211100031,5/18/2022,"11,24,982.00",673,"11,24,982.00",0,IV,,1000,1,90003271,0,0,0,0,0,0,"11,24,982.00",,"11,24,982.00"
10001068,SSC PHARMA INC,CC,1200,90000728,RV,5/19/2022,5/19/2022,DI2210300124,5/19/2022,"9,62,615.00",672,"9,62,615.00",0,ZDOM,G08,1000,1,90003305,0,0,0,0,0,0,"9,62,615.00",,"9,62,615.00"
10001068,SSC PHARMA INC,CC,1200,90000750,RV,5/20/2022,5/20/2022,DI2210300127,5/20/2022,"2,25,120.00",671,"2,25,120.00",0,ZDOM,G08,1000,1,90003347,0,0,0,0,0,0,"2,25,120.00",,"2,25,120.00"
10008478,KAILASH ENTERPRISES,CC,1200,90000756,RV,5/20/2022,5/20/2022,DI2210300129,5/20/2022,"11,200.00",671,"11,200.00",0,ZDOM,G08,1000,1,90003359,0,0,0,0,0,0,"11,200.00",,"11,200.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000796,RV,5/21/2022,5/21/2022,DI2211100034,5/21/2022,"64,232.00",670,"64,232.00",0,IV,,1000,1,90003427,0,0,0,0,0,0,"64,232.00",,"64,232.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000797,RV,5/21/2022,5/21/2022,DI2211100035,5/21/2022,"1,07,045.00",670,"1,07,045.00",0,IV,,1000,1,90003428,0,0,0,0,0,0,"1,07,045.00",,"1,07,045.00"
10008399,PUSHPAM TRADERS,CC,1200,90000837,RV,5/25/2022,5/25/2022,DI2210300139,5/25/2022,"69,345.00",666,"69,345.00",0,ZDOM,G08,1000,1,90003519,0,0,0,0,0,0,"69,345.00",,"69,345.00"
10008450,SATHIYA PHARMA DISTRIBUTORS,CC,1200,90000838,RV,5/25/2022,5/25/2022,DI2210300140,5/25/2022,"31,360.00",666,"31,360.00",0,ZDOM,G08,1000,1,90003520,0,0,0,0,0,0,"31,360.00",,"31,360.00"
10004142,MUDRA INCORPORATION,CC,1200,90000847,RV,5/25/2022,5/25/2022,DI2210300143,5/25/2022,"1,53,216.00",666,"1,53,216.00",0,ZDOM,G08,1000,1,90003529,0,0,0,0,0,0,"1,53,216.00",,"1,53,216.00"
10000460,SVASTHYA PHARMA ENTERPRISE,CC,1200,90000867,RV,5/26/2022,5/26/2022,DI2210300147,5/26/2022,"6,492.00",665,"6,492.00",0,ZDOM,G08,1000,1,90003567,0,0,0,0,0,0,"6,492.00",,"6,492.00"
10005907,GANDHI BROTHERS,CC,1200,90000878,RV,5/27/2022,5/27/2022,DI2210300149,5/27/2022,"85,120.00",664,"85,120.00",0,ZDOM,G08,1000,1,90003588,0,0,0,0,0,0,"85,120.00",,"85,120.00"
10005423,KHANDELWAL ENTERPRISES,Ge,1200,90000929,RV,5/30/2022,5/30/2022,DI2210300158,5/30/2022,"45,696.00",661,"45,696.00",0,ZDOM,G08,1000,1,90003694,0,0,0,0,0,0,"45,696.00",,"45,696.00"
3200,CELEBRITY BIOPHARMA LIMITED,,1102,90000937,RV,5/30/2022,5/30/2022,DI2211100041,5/30/2022,"1,65,760.00",661,"1,65,760.00",0,IV,,1000,1,90003705,0,0,0,0,0,0,"1,65,760.00",,"1,65,760.00"
